Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg, Exchange
22nd Century Group,XXII,3.20,3.40,3.12,3.31,0.17,5.41,3495913,3.55,0.81,...,...,... dd,18.21,NYSE American
Acme United,ACU,24.00,24.23,23.94,24.00,0.39,1.67,10573,29.49,20.20,0.44,1.83,17.14,2.56,NYSE American
Actinium Pharmaceuticals,ATNM,0.75,0.75,0.70,0.71,-0.01,-1.64,368565,1.72,0.54,...,...,... dd,6.72,NYSE American
Adams Resources&Energy,AE,46.40,46.40,45.43,46.36,-0.53,-1.13,1098,50.59,32.80,0.88,1.90,... dd,6.57,NYSE American
AeroCentury,ACY,15.65,15.83,15.65,15.73,-0.17,-1.08,2653,16.10,9.00,...,...,17.48,3.20,NYSE American
Air Industries Group,AIRI,1.54,1.57,1.50,1.56,0.03,1.95,48986,4.60,1.15,0.60,38.46,... dd,-7.70,NYSE American
Alexco Resource,AXU,1.46,1.50,1.43,1.43,...,...,241754,2.04,1.10,...,...,... dd,-10.06,NYSE American
Alio Gold,ALO,3.46,3.60,3.46,3.52,0.06,1.73,119895,6.06,2.82,...,...,5.68,-4.09,NYSE American
Almaden Minerals,AAU,0.95,0.96,0.94,0.96,0.02,1.67,191993,1.75,0.71,...,...,... dd,-7.15,NYSE American
Alpha Pro Tech,APT,3.90,3.94,3.80,3.85,-0.05,-1.28,48443,4.25,2.55,...,...,18.33,-3.75,NYSE American
AMCON Distributing,DIT,89.30,89.40,89.30,89.40,2.55,2.94,829,121.05,81.66,0.72,0.81,20.94,-8.64,NYSE American
American Lorain,ALN,0.19,0.20,0.19,0.20,-0.00,-1.98,463382,0.61,0.14,...,...,...,12.73,NYSE American
American Shared Hospital Services,AMS,2.78,2.79,2.78,2.79,0.04,1.51,2311,5.00,2.45,...,...,16.42,7.52,NYSE American
Americas Silver,USAS,4.09,4.14,4.06,4.06,...,...,25938,5.04,2.50,...,...,... dd,12.15,NYSE American
Ampio Pharmaceuticals,AMPE,2.90,2.93,2.68,2.81,-0.13,-4.42,747009,4.95,0.38,...,...,... dd,-30.96,NYSE American
Ampliphi Biosciences,APHB,1.05,1.15,1.01,1.12,-0.38,-25.33,4190047,6.80,0.67,...,...,... dd,10.89,NYSE American
Asanko Gold,AKG,0.68,0.71,0.67,0.69,0.02,2.52,756486,3.90,0.43,...,...,29.70,-2.00,NYSE American
