Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange
BioPharmX, BPMX,0.14,0.19,0.14,0.19,0.06,42.2,51455362,0.9,0.1,0,0,0,70.33, NYSE American
Affimed, AFMD,1.65,1.95,1.5,1.85,0.53,39.62,8818553,2.95,1.15,0,0,0,42.31, NASDAQ Global
QuinStreet, QNST,10.55,13.15,10.42,12.96,3.63,38.91,3684213,13.15,2.96,0,0,259.2,54.65, NASDAQ Global
Liquidity Services, LQDT,4.9,6.5,4.9,6.5,1.7,35.42,694793,9.95,4.33,0,0,0,34.02, NASDAQ Global
Nxt-ID WT, NXTDW,0.38,0.49,0.35,0.49,0.12,33.48,7509,3.42,0.08,0,0,0,-26.27, NASDAQ Capital
Jason Industries WT, JASNW,0.01,0.02,0.01,0.02,0,32.67,59820,0.19,0.01,0,0,0,-13.48, NASDAQ Capital
Regional Health Properties, RHE,0.23,0.31,0.22,0.29,0.07,29.82,976453,1.64,0.16,0,0,0,70.29, NYSE American
Akers Biosciences, AKER,0.29,0.39,0.29,0.36,0.08,28.33,56592933,2.9,0.12,0,0,0,169.4, NASDAQ Capital
Zion Oil&Gas, ZN,2.43,2.7,2.3,2.69,0.58,27.49,2244772,6.9,1.07,0,0,0,24.54, NASDAQ Global
Sensus Healthcare WT, SRTSW,0.78,0.78,0.78,0.78,0.17,26.83,193,3,0.41,0,0,0,11.43, NASDAQ Capital
Oncobiologics WT Series A, ONSIW,0.04,0.05,0.04,0.05,0.01,26.32,3409,1.67,0.02,0,0,0,52.87, NASDAQ Global
Biostar Pharmaceuticals, BSPM,3,3.92,2.94,3.6,0.7,24.14,6233051,5.97,1.18,0,0,10.15,103.39, NASDAQ Capital
NextDecade WT, NEXTW,0.49,0.54,0.49,0.5,0.09,21.95,26200,1.19,0.17,0,0,0,-16.67, NASDAQ Capital
I-AM Capital Acquisition WT, IAMXW,0.23,0.3,0.23,0.28,0.05,21.16,8603,0.39,0.21,0,0,0,-15.15, NASDAQ Capital
Intellicheck, IDN,2.14,2.8,2.11,2.56,0.43,20.37,264924,4.55,1.8,0,0,0,0.15, NYSE American
Cimpress, CMPR,134.11,155.08,130.16,153.01,25.6,20.09,1441226,155.08,78.8,0,0,0,27.64, NASDAQ Global
KBL Merger IV Rt, KBLMR,0.36,0.43,0.36,0.4,0.06,19.37,10900,0.43,0.25,0,0,0,37.9, NASDAQ Capital
National Energy Services Reunited WT, NESRW,0.9,1.09,0.9,1.02,0.16,18.6,459967,1.09,0.38,0,0,0,24.39, NASDAQ Capital
Constellation Alpha Capital Rt, CNACR,0.45,0.45,0.45,0.45,0.07,18.16,448,0.48,0.25,0,0,0,44.84, NASDAQ Capital
Revolution Lighting Technologies, RVLT,3.88,4.75,3.78,4.19,0.64,18.03,1792225,9.17,2.95,0,0,0,27.36, NASDAQ Capital
