Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg, Exchange
Crane, CR, 93.16, 94.06, 92.39, 93.85, 1.19, 1.28, 252689, 94.06, 67.62, 1.32, 1.41, 42.09, 5.19, NYSE
Dynegy, DYN, 12.55, 12.72, 12.46, 12.68, 0.16, 1.28, 1789956, 12.84, 5.84, 0.0, 0.0, 0.0, 7.0, NYSE
Lockheed Martin, LMT, 331.04, 335.19, 330.21, 334.72, 4.23, 1.28, 1753558, 336.67, 249.55, 8.0, 2.39, 26.99, 4.26, NYSE
Schweitzer-Mauduit International, SWM, 46.71, 46.6, 45.25, 46.56, 0.59, 1.28, 260553, 48.06, 36.26, 1.72, 3.69, 19.98, 2.65, NYSE
Hingham Institution for Savings, HIFS, 218.7, 221.49, 217.82, 221.0, 2.8, 1.28, 4908, 242.0, 148.02, 1.36, 0.62, 18.73, 6.76, NASDAQ Global
Nuvectra, NVTR, 8.7, 8.82, 8.55, 8.69, 0.11, 1.28, 53117, 15.0, 5.76, 0.0, 0.0, 0.0, 11.98, NASDAQ Global
Randolph Bancorp, RNDB, 15.8, 15.86, 15.78, 15.8, 0.2, 1.28, 5543, 16.49, 13.36, 0.0, 0.0, 0.0, 2.9, NASDAQ Global
FS Bancorp, FSBW, 58.76, 59.3, 57.79, 59.08, 0.74, 1.27, 4523, 59.81, 35.14, 0.44, 0.74, 14.1, 8.26, NASDAQ Capital
China Green Agriculture, CGA, 1.6, 1.61, 1.57, 1.59, 0.02, 1.27, 167992, 2.11, 1.19, 0.0, 0.0, 2.65, 28.23, NYSE
Blucora, BCOR, 23.8, 24.05, 23.15, 24.0, 0.3, 1.27, 344792, 26.15, 14.25, 0.0, 0.0, 20.73, 8.6, NASDAQ Global
Ezcorp Cl A, EZPW, 11.85, 12.0, 11.8, 12.0, 0.15, 1.27, 364445, 12.5, 7.55, 0.0, 0.0, 27.42, -1.64, NASDAQ Global
Government Properties Income Trust, GOV, 18.14, 18.34, 18.08, 18.34, 0.23, 1.27, 1026181, 22.99, 17.36, 1.72, 9.38, 33.77, -1.08, NASDAQ Global
Kratos Defense&Security Solutions, KTOS, 11.09, 11.16, 10.96, 11.15, 0.14, 1.27, 963723, 13.93, 6.96, 0.0, 0.0, 0.0, 5.29, NASDAQ Global
LendingTree, TREE, 362.8, 372.65, 355.25, 367.1, 4.6, 1.27, 279487, 404.4, 104.85, 0.0, 0.0, 161.01, 7.83, NASDAQ Global
Charles&Colvard, CTHR, 1.38, 1.38, 1.35, 1.37, 0.02, 1.26, 27205, 1.55, 0.8, 0.0, 0.0, 0.0, 1.48, NASDAQ Capital
Sharps Compliance, SMED, 4.78, 5.0, 4.73, 4.81, 0.06, 1.26, 79138, 5.73, 3.74, 0.0, 0.0, 327.21, 17.6, NASDAQ Capital
Workhorse Group, WKHS, 3.28, 3.45, 3.17, 3.22, 0.04, 1.26, 772978, 4.89, 1.85, 0.0, 0.0, 0.0, 25.78, NASDAQ Capital
Diamond Offshore Drilling, DO, 19.24, 19.37, 18.64, 19.24, 0.24, 1.26, 1454229, 20.41, 10.05, 0.0, 0.0, 21.38, 3.5, NYSE
Goldman Sachs Group, GS, 266.35, 270.5, 265.01, 269.03, 3.35, 1.26, 4825516, 270.5, 209.62, 3.0, 1.12, 31.25, 5.6, NYSE
Wesco International, WCC, 66.5, 68.6, 66.9, 68.35, 0.85, 1.26, 392676, 76.15, 48.95, 0.0, 0.0, 17.71, 0.29, NYSE
Boston Scientific, BSX, 28.07, 28.39, 27.96, 28.26, 0.35, 1.25, 5405739, 29.93, 23.29, 0.0, 0.0, 46.33, 14.0, NYSE
Teledyne Technologies, TDY, 192.75, 197.53, 195.12, 197.25, 2.44, 1.25, 109272, 197.53, 119.69, 0.0, 0.0, 33.55, 8.89, NYSE
Yelp, YELP, 44.09, 43.33, 42.45, 43.03, 0.53, 1.25, 1229308, 48.4, 26.93, 0.0, 0.0, 195.59, 2.55, NYSE
Codorus Valley Bancorp, CVLY, 28.56, 29.63, 28.56, 29.06, 0.36, 1.25, 6108, 33.46, 22.82, 0.62, 2.13, 21.98, 5.56, NASDAQ Global
MercadoLibre, MELI, 359.0, 360.52, 352.48, 360.06, 4.46, 1.25, 532809, 363.76, 180.22, 0.6, 0.17, 119.62, 14.43, NASDAQ Global
MobileIron, MOBL, 4.0, 4.15, 4.0, 4.05, 0.05, 1.25, 237782, 6.78, 3.2, 0.0, 0.0, 0.0, 3.85, NASDAQ Global
ChinaNet Online Holdings, CNET, 4.01, 4.18, 3.9, 4.08, 0.05, 1.24, 986533, 11.9, 0.9, 0.0, 0.0, 0.0, 274.31, NASDAQ Capital
Medtronic, MDT, 85.99, 86.98, 85.66, 86.82, 1.06, 1.24, 3639511, 89.72, 73.89, 1.84, 2.12, 23.79, 7.52, NYSE
Portland General Electric, POR, 41.97, 42.75, 41.89, 42.59, 0.52, 1.24, 993314, 50.11, 41.89, 1.36, 3.19, 18.44, -6.56, NYSE
Celgene, CELG, 106.1, 106.28, 101.8, 104.39, 1.28, 1.24, 10192844, 147.17, 94.55, 0.0, 0.0, 24.8, 0.03, NASDAQ Global
Unity Bancorp, UNTY, 20.24, 20.45, 20.15, 20.45, 0.25, 1.24, 1647, 20.95, 15.35, 0.24, 1.17, 17.04, 3.54, NASDAQ Global
Vermillion, VRML, 1.61, 1.74, 1.58, 1.65, 0.02, 1.23, 69937, 2.85, 1.03, 0.0, 0.0, 0.0, -14.51, NASDAQ Capital
