Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
Cellectar Biosciences WT, CLRBW, 0.2, 0.79, 0.2, 0.79, 0.69, 686.6, 21400, 0.79, 0.08, 0.0, 0.0, 0.0, 685.81, NASDAQ Capital,2018-02-15,13:59:41
Fossil Group, FOSL, 16.13, 18.0, 13.8, 16.97, 7.93, 87.72, 41607725, 21.03, 5.5, 0.0, 0.0, 0.0, 118.4, NASDAQ Global,2018-02-15,13:59:41
Cerecor WT Cl A, CERCW, 0.36, 0.47, 0.36, 0.4, 0.18, 81.82, 28726, 0.6, 0.01, 0.0, 0.0, 0.0, 33.33, NASDAQ Capital,2018-02-15,13:59:41
InspireMD WT, NSPR%, 0.05, 0.23, 0.05, 0.06, 0.02, 50.0, 84113, 0.6, 0.0, 0.0, 0.0, 0.0, 100.0, NYSE American,2018-02-15,13:59:41
Oncobiologics WT Series B, ONSIZ, 0.04, 0.05, 0.04, 0.05, 0.01, 36.78, 2300, 0.64, 0.02, 0.0, 0.0, 0.0, 112.26, NASDAQ Global,2018-02-15,13:59:41
Criteo ADR, CRTO, 29.9, 30.71, 27.19, 30.25, 6.86, 29.33, 5980201, 56.0, 21.0, 0.0, 0.0, 26.11, 16.21, NASDAQ Global,2018-02-15,13:59:41
ChinaCache International Holdings ADR, CCIH, 1.28, 1.69, 1.28, 1.63, 0.35, 27.34, 2707280, 4.75, 0.72, 0.0, 0.0, 0.0, -3.55, NASDAQ Global,2018-02-15,13:59:41
DBV Technologies ADR, DBVT, 26.5, 26.85, 25.1, 26.23, 5.37, 25.74, 3516176, 50.57, 20.07, 0.0, 0.0, 0.0, 6.63, NASDAQ Global,2018-02-15,13:59:41
Origo Acquisition WT, OACQW, 0.35, 0.35, 0.24, 0.35, 0.07, 25.1, 1000, 0.52, 0.05, 0.0, 0.0, 0.0, -29.77, NASDAQ Capital,2018-02-15,13:59:41
Immuron WT, IMRNW, 2.0, 2.0, 2.0, 2.0, 0.4, 25.0, 2034, 3.74, 0.64, 0.0, 0.0, 0.0, 119.78, NASDAQ Capital,2018-02-15,13:59:41
Innovate Biopharmaceuticals WT, INNTW, 0.11, 0.25, 0.11, 0.25, 0.05, 25.0, 9453, 4.2, 0.05, 0.0, 0.0, 0.0, -50.0, NASDAQ Capital,2018-02-15,13:59:41
Eyegate Pharmaceuticals WT, EYEGW, 0.1, 0.11, 0.09, 0.1, 0.02, 24.88, 12400, 0.59, 0.05, 0.0, 0.0, 0.0, -33.27, NASDAQ Capital,2018-02-15,13:59:41
Hudbay Minerals WT, HBM%, 0.16, 0.2, 0.16, 0.2, 0.04, 24.84, 2150, 0.98, 0.07, 0.0, 0.0, 0.0, -35.48, NYSE,2018-02-15,13:59:41
Social Reality Cl A, SRAX, 3.64, 4.49, 3.58, 4.47, 0.88, 24.51, 668994, 7.95, 1.11, 0.0, 0.0, 0.0, -20.88, NASDAQ Capital,2018-02-15,13:59:41
Biofrontera ADR, BFRA, 13.0, 14.03, 11.25, 12.18, 2.3, 23.28, 549391, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-02-15,13:59:41
Regional Management, RM, 28.85, 34.24, 28.5, 34.01, 6.41, 23.22, 310708, 34.24, 18.31, 0.0, 0.0, 13.39, 29.27, NYSE,2018-02-15,13:59:41
Zosano Pharma, ZSAN, 4.9, 4.9, 4.07, 4.49, 0.83, 22.68, 252506, 70.78, 3.61, 0.0, 0.0, 0.0, -56.83, NASDAQ Capital,2018-02-15,13:59:41
Carbonite, CARB, 24.75, 26.55, 23.0, 26.52, 4.83, 22.24, 1714287, 27.0, 18.2, 0.0, 0.0, 0.0, 5.68, NASDAQ Global,2018-02-15,13:59:41
LM Funding America WT, LMFAW, 0.19, 0.19, 0.18, 0.18, 0.03, 22.12, 613, 0.47, 0.02, 0.0, 0.0, 0.0, 365.12, NASDAQ Capital,2018-02-15,13:59:41
BioTime WT, BTX%, 0.13, 0.15, 0.13, 0.15, 0.03, 21.08, 3536, 0.65, 0.11, 0.0, 0.0, 0.0, 22.27, NYSE American,2018-02-15,13:59:41
Zions Bancorp WT, ZIONZ, 17.5, 18.5, 17.5, 18.25, 3.06, 20.14, 18800, 19.53, 6.44, 0.0, 0.0, 0.0, 23.73, NASDAQ Global,2018-02-15,13:59:41
Cytori Therapeutics WT, CYTXW, 0.04, 0.04, 0.03, 0.03, 0.01, 20.0, 3900, 0.8, 0.01, 0.0, 0.0, 0.0, 172.73, NASDAQ Capital,2018-02-15,13:59:41
Infinity Property&Casualty, IPCC, 117.05, 117.48, 111.5, 115.05, 19.0, 19.78, 1391332, 117.48, 83.0, 2.32, 2.02, 24.38, 8.54, NASDAQ Global,2018-02-15,13:59:41
Ameri Holdings WT, AMRHW, 0.66, 0.78, 0.66, 0.78, 0.13, 19.77, 26511, 7.58, 0.25, 0.0, 0.0, 0.0, 1.76, NASDAQ Capital,2018-02-15,13:59:41
Ameri Holdings, AMRH, 1.87, 2.53, 1.87, 2.25, 0.36, 19.05, 461763, 13.5, 1.27, 0.0, 0.0, 0.0, -27.42, NASDAQ Capital,2018-02-15,13:59:41
