Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
I-AM Capital Acquisition WT, IAMXW, 0.25, 0.6, 0.25, 0.6, 0.37, 160.83, 3300, 0.7, 0.21, 0.0, 0.0, 0.0, 81.79, NASDAQ Capital,2018-02-16,15:49:22
Eastman Kodak Co. WT 125%, KODK%, 0.3, 0.45, 0.25, 0.45, 0.17, 59.07, 33240, 3.3, 0.01, 0.0, 0.0, 0.0, 8390.57, NYSE,2018-02-16,15:49:22
Moleculin Biotech, MBRX, 2.62, 3.34, 2.5, 2.8, 0.98, 53.85, 33017891, 3.75, 0.71, 0.0, 0.0, 0.0, 50.54, NASDAQ Capital,2018-02-16,15:49:22
Eastman Kodak WT, KODK%A, 0.34, 0.47, 0.3, 0.45, 0.15, 50.0, 25262, 3.15, 0.0, 0.0, 0.0, 0.0, 4311.76, NYSE,2018-02-16,15:49:22
Yangtze River Port&Logistics, YRIV, 3.31, 5.92, 3.3, 4.45, 1.2, 36.92, 191142, 25.47, 2.61, 0.0, 0.0, 0.0, -49.55, NASDAQ Global,2018-02-16,15:49:22
Ameri Holdings, AMRH, 2.29, 3.0, 2.15, 2.94, 0.69, 30.67, 701517, 13.5, 1.27, 0.0, 0.0, 0.0, -5.16, NASDAQ Capital,2018-02-16,15:49:22
AMAG Pharmaceuticals, AMAG, 16.65, 18.6, 15.8, 17.95, 4.05, 29.14, 11573339, 25.2, 11.93, 0.0, 0.0, 0.0, 35.47, NASDAQ Global,2018-02-16,15:49:22
Galmed Pharmaceuticals, GLMD, 5.6, 7.35, 5.6, 6.96, 1.51, 27.71, 850902, 12.22, 3.61, 0.0, 0.0, 0.0, -23.93, NASDAQ Capital,2018-02-16,15:49:22
GTY Technology Holdings WT, GTYHW, 1.27, 1.5, 1.27, 1.5, 0.3, 25.0, 43427, 2.02, 0.98, 0.0, 0.0, 0.0, 11.11, NASDAQ Capital,2018-02-16,15:49:22
SolarEdge Technologies, SEDG, 42.1, 46.05, 41.5, 45.85, 8.95, 24.25, 4325509, 46.05, 13.5, 0.0, 0.0, 24.78, 22.1, NASDAQ Global,2018-02-16,15:49:22
Cemtrex WT, CETXW, 0.39, 0.39, 0.39, 0.39, 0.07, 23.09, 600, 1.73, 0.2, 0.0, 0.0, 0.0, 51.44, NASDAQ Capital,2018-02-16,15:49:22
Long Blockchain, LBCC, 3.03, 4.0, 3.03, 3.63, 0.66, 22.22, 1502460, 9.49, 1.7, 0.0, 0.0, 0.0, -28.82, NASDAQ Capital,2018-02-16,15:49:22
ClearSign Combustion WT, CLIRW, 0.75, 1.09, 0.75, 1.09, 0.19, 21.43, 300, 1.95, 0.48, 0.0, 0.0, 0.0, 9.0, NASDAQ Capital,2018-02-16,15:49:22
Ameri Holdings WT, AMRHW, 0.84, 0.94, 0.84, 0.94, 0.16, 20.75, 7350, 7.58, 0.25, 0.0, 0.0, 0.0, 22.88, NASDAQ Capital,2018-02-16,15:49:22
RiceBran Technologies WT, RIBTW, 0.1, 0.12, 0.1, 0.12, 0.02, 20.29, 3500, 0.68, 0.05, 0.0, 0.0, 0.0, 18.0, NASDAQ Capital,2018-02-16,15:49:22
Antares Pharma, ATRS, 2.24, 2.37, 2.11, 2.35, 0.37, 18.69, 7002754, 4.09, 1.58, 0.0, 0.0, 0.0, 18.09, NASDAQ Capital,2018-02-16,15:49:22
500.com ADR, WBAI, 13.4, 15.71, 13.26, 15.52, 2.37, 18.02, 646682, 15.71, 8.12, 0.0, 0.0, 0.0, 53.51, NYSE,2018-02-16,15:49:22
Dogness (International), DOGZ, 4.2, 4.78, 4.2, 4.78, 0.71, 17.43, 16423, 6.4, 3.7, 0.0, 0.0, 0.0, -18.99, NASDAQ Global,2018-02-16,15:49:22
Syntel, SYNT, 24.1, 26.1, 23.4, 25.71, 3.8, 17.34, 1737015, 26.33, 15.82, 0.0, 0.0, 12.54, 11.83, NASDAQ Global,2018-02-16,15:49:22
Build-A-Bear Workshop, BBW, 9.0, 9.45, 8.4, 9.15, 1.35, 17.31, 564418, 11.9, 7.25, 0.0, 0.0, 50.83, -0.54, NYSE,2018-02-16,15:49:22
Second Sight Medical Products WT, EYESW, 0.74, 0.74, 0.71, 0.74, 0.11, 16.95, 4781, 1.05, 0.26, 0.0, 0.0, 0.0, -12.36, NASDAQ Capital,2018-02-16,15:49:22
Eastman Kodak, KODK, 6.1, 7.25, 6.0, 7.0, 1.0, 16.67, 2885876, 15.3, 2.95, 0.0, 0.0, 0.0, 125.81, NYSE,2018-02-16,15:49:22
Estre Ambiental WT, ESTRW, 0.73, 0.74, 0.62, 0.67, 0.1, 16.52, 51651, 1.03, 0.56, 0.0, 0.0, 0.0, -10.67, NASDAQ Global,2018-02-16,15:49:22
New Concept Energy, GBR, 1.41, 1.64, 1.35, 1.61, 0.22, 15.86, 80155, 3.79, 1.0, 0.0, 0.0, 0.0, 3.28, NYSE American,2018-02-16,15:49:22
Health Insurance Innovations Cl A, HIIQ, 29.95, 31.2, 28.5, 31.05, 4.0, 14.79, 1550338, 37.38, 12.65, 0.0, 0.0, 25.73, 24.45, NASDAQ Global,2018-02-16,15:49:22
Apricus Biosciences, APRI, 2.88, 3.34, 2.82, 3.19, 0.41, 14.75, 4318717, 3.49, 0.86, 0.0, 0.0, 0.0, 73.37, NASDAQ Capital,2018-02-16,15:49:22
Sears Holdings, SHLD, 2.45, 2.73, 2.23, 2.63, 0.33, 14.35, 5029825, 14.32, 1.99, 0.0, 0.0, 0.0, -26.54, NASDAQ Global,2018-02-16,15:49:22
ARMO Biosciences, ARMO, 42.58, 49.84, 42.58, 48.29, 6.04, 14.3, 142246, 49.84, 27.0, 0.0, 0.0, 0.0, 62.37, NASDAQ Global,2018-02-16,15:49:22
Allena Pharmaceuticals, ALNA, 6.82, 7.45, 6.42, 7.26, 0.88, 13.79, 209416, 15.4, 6.15, 0.0, 0.0, 0.0, -27.83, NASDAQ Global,2018-02-16,15:49:22
TOP Ships, TOPS, 0.21, 0.23, 0.2, 0.23, 0.03, 13.75, 26005424, 89100.0, 0.18, 0.0, 0.0, 0.0, -8.73, NASDAQ Capital,2018-02-16,15:49:22
Avon Products, AVP, 2.44, 2.65, 2.36, 2.57, 0.3, 13.22, 10867673, 5.41, 1.85, 0.24, 9.34, 0.0, 19.53, NYSE,2018-02-16,15:49:22
Andersons, ANDE, 34.5, 36.9, 33.3, 36.0, 4.2, 13.21, 313790, 41.45, 29.6, 0.66, 1.83, 24.66, 15.57, NASDAQ Global,2018-02-16,15:49:22
Reis, REIS, 17.1, 19.45, 17.1, 19.0, 2.2, 13.1, 44890, 23.0, 15.95, 0.68, 3.58, 190.0, -7.99, NASDAQ Global,2018-02-16,15:49:22
Zomedica Pharmaceuticals, ZOM, 2.0, 2.25, 2.0, 2.25, 0.26, 13.07, 8857, 2.5, 0.89, 0.0, 0.0, 0.0, 13.8, NYSE American,2018-02-16,15:49:22
Overstock.com, OSTK, 62.45, 67.65, 62.05, 67.1, 7.75, 13.06, 5993861, 89.8, 13.75, 0.0, 0.0, 0.0, 5.01, NASDAQ Global,2018-02-16,15:49:22
Forum Merger WT, FMCIW, 0.8, 0.98, 0.79, 0.9, 0.1, 12.49, 131886, 0.98, 0.21, 0.0, 0.0, 0.0, 32.34, NASDAQ Capital,2018-02-16,15:49:22
Liberty TripAdvisor Holdings Series B, LTRPB, 12.35, 12.35, 12.35, 12.35, 1.35, 12.27, 2531, 16.6, 9.0, 0.0, 0.0, 123.5, 31.38, NASDAQ Global,2018-02-16,15:49:22
GenMark Diagnostics, GNMK, 4.25, 4.76, 4.24, 4.75, 0.51, 12.03, 448775, 13.67, 3.63, 0.0, 0.0, 0.0, 13.91, NASDAQ Global,2018-02-16,15:49:22
