Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
Can-Fite Biopharma ADR, CANF,2.15,2.15,2.01,2.05,-0.1,-4.65,59589,2.75,1.24,0,0,0,38.5, NYSE American,2/15/2018,11:40:00
Soleno Therapeutics, SLNO,1.7,1.8,1.67,1.67,-0.08,-4.73,5322,3.75,1.32,0,0,0,-7.37, NASDAQ Capital,2/15/2018,11:40:00
EnviroStar, EVI,37.75,38,36.2,36.2,-1.8,-4.74,25816,43.1,17.3,0,0,120.67,-9.5, NYSE American,2/15/2018,11:40:00
National Research Cl B, NRCIB,53.15,53.4,52.72,52.72,-2.63,-4.75,1142,58.16,38.76,2.4,4.55,17.11,-5.96, NASDAQ Global,2/15/2018,11:40:00
TPG Pace Energy Holdings WT, TPGE%,1.4,1.4,1.4,1.4,-0.07,-4.76,2100,1.75,1.1,0,0,0,3.7, NYSE,2/15/2018,11:40:00
Evofem Biosciences, EVFM,7.37,7.37,7,7,-0.35,-4.76,13106,15.78,1.8,0,0,0,-40.17, NASDAQ Capital,2/15/2018,11:40:00
KBL Merger IV WT, KBLMW,0.2,0.2,0.2,0.2,-0.01,-4.76,10100,0.28,0.15,0,0,0,1.52, NASDAQ Capital,2/15/2018,11:40:00
Matlin&Partners Acquisition WT, MPACW,0.41,0.41,0.4,0.4,-0.02,-4.76,112100,0.51,0.36,0,0,0,-4.76, NASDAQ Capital,2/15/2018,11:40:00
Comstock Mining, LODE,0.36,0.36,0.33,0.34,-0.02,-4.82,644174,1.4,0.21,0,0,0,-12.87, NYSE American,2/15/2018,11:40:00
ASV Holdings, ASV,8.26,8.26,8,8.06,-0.41,-4.84,10689,10.8,7.23,0,0,141.16,-20.59, NASDAQ Capital,2/15/2018,11:40:00
DropCar, DCAR,2.4,2.48,2.3,2.36,-0.12,-4.84,136816,13.52,2.13,0,0,0,-42.16, NASDAQ Capital,2/15/2018,11:40:00
China Online Education Group ADR, COE,10.21,10.73,9.78,9.81,-0.5,-4.85,29276,22.36,9.25,0,0,0,-21.52, NYSE,2/15/2018,11:40:00
ATA ADR, ATAI,5.39,5.5,5.28,5.29,-0.27,-4.86,2621,6.62,3.4,0,0,0,14.5, NASDAQ Global,2/15/2018,11:40:00
Fluidigm, FLDM,7.49,7.52,7.14,7.19,-0.37,-4.89,291184,7.75,2.52,0,0,0,22.07, NASDAQ Global,2/15/2018,11:40:00
CPI Card Group, PMTS,2.77,2.82,2.65,2.67,-0.14,-4.98,37025,25.25,2.45,0,0,0,-27.25, NASDAQ Capital,2/15/2018,11:40:00
Hudson Global, HSON,2.16,2.16,1.92,2.09,-0.11,-5,37892,2.44,1,0.2,9.57,0,-7.11, NASDAQ Global,2/15/2018,11:40:00
Bioanalytical Systems, BASI,1.58,1.6,1.45,1.52,-0.08,-5,59909,2.95,0.99,0,0,13.57,-37.96, NASDAQ Capital,2/15/2018,11:40:00
SG Blocks, SGBX,5.17,5.17,4.9,4.94,-0.26,-5,60741,7,3.7,0,0,0,-17.39, NASDAQ Capital,2/15/2018,11:40:00
