Symbol,Quarter,CashAndEquivalents,ShortTermInvestments,NetReceivables,Inventory,OtherCurrentAssets,TotalCurrentAssets,LongTermInvestments,FixedAssets,Goodwill,IntangibleAssets,OtherAssets,DeferredAssetCharges,TotalAssets,AccountsPayable,ShortTermDebt,OtherCurrentLiabilities,TotalCurrentLiabilities,LongTermDebt,OtherLiabilities,DeferredLiabilityCharges,MiscStocks,MinorityInterest,TotalLiabilities,CommonStocks,CapitalSurplus,RetainedEarnings,TreasuryStock,OtherEquity,TotalEquity,TotalLiabilitiesAndEquity
FLS,4Q2016,367162.0000,0.0000,882638.0000,897690.0000,150199.0000,2297689.0000,0.0000,724805.0000,1205054.0000,214527.0000,183126.0000,83722.0000,4708923.0000,1093073.0000,85365.0000,0.0000,1178438.0000,1485258.0000,407839.0000,0.0000,0.0000,20961.0000,3092496.0000,220991.0000,491848.0000,3598396.0000,-2078527.0000,-616281.0000,1616427.0000,4708923.0000,
HAL,1Q2017,2107000.0000,0.0000,4008000.0000,2295000.0000,1418000.0000,9828000.0000,0.0000,8415000.0000,2419000.0000,0.0000,2082000.0000,2141000.0000,24885000.0000,2550000.0000,97000.0000,1195000.0000,3842000.0000,10812000.0000,1242000.0000,0.0000,0.0000,38000.0000,15934000.0000,2674000.0000,222000.0000,13569000.0000,-7062000.0000,-452000.0000,8951000.0000,24885000.0000,
HAL,2Q2017,2139000.0000,0.0000,4385000.0000,2283000.0000,1453000.0000,10260000.0000,0.0000,8374000.0000,2407000.0000,0.0000,2052000.0000,2232000.0000,25325000.0000,2749000.0000,336000.0000,983000.0000,4068000.0000,10816000.0000,1488000.0000,0.0000,0.0000,36000.0000,16408000.0000,2673000.0000,131000.0000,13441000.0000,-6878000.0000,-450000.0000,8917000.0000,25325000.0000,
HAL,3Q2017,2337000.0000,0.0000,5036000.0000,2396000.0000,1008000.0000,10777000.0000,0.0000,8521000.0000,2693000.0000,0.0000,1864000.0000,1230000.0000,25085000.0000,3531000.0000,512000.0000,819000.0000,4862000.0000,10430000.0000,1444000.0000,0.0000,0.0000,27000.0000,16763000.0000,2673000.0000,207000.0000,12668000.0000,-6757000.0000,-469000.0000,8322000.0000,25085000.0000,
HTZ,1Q2017,1051000.0000,0.0000,1034000.0000,0.0000,497000.0000,2582000.0000,0.0000,12668000.0000,1081000.0000,3325000.0000,0.0000,0.0000,19656000.0000,4308000.0000,14008000.0000,422000.0000,18738000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18738000.0000,1000.0000,2231000.0000,-1056000.0000,-100000.0000,-158000.0000,918000.0000,19656000.0000,
HTZ,2Q2017,2203000.0000,0.0000,1210000.0000,0.0000,565000.0000,3978000.0000,0.0000,14134000.0000,1082000.0000,3239000.0000,0.0000,0.0000,22433000.0000,4432000.0000,16809000.0000,436000.0000,21677000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21677000.0000,1000.0000,2234000.0000,-1214000.0000,-100000.0000,-165000.0000,756000.0000,22433000.0000,
HTZ,3Q2017,1777000.0000,0.0000,1524000.0000,0.0000,519000.0000,3820000.0000,0.0000,13207000.0000,1083000.0000,3234000.0000,0.0000,0.0000,21344000.0000,4111000.0000,15919000.0000,448000.0000,20478000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20478000.0000,1000.0000,2237000.0000,-1122000.0000,-100000.0000,-150000.0000,866000.0000,21344000.0000,
HTZ,4Q2016,1094000.0000,0.0000,1283000.0000,0.0000,578000.0000,2955000.0000,0.0000,11787000.0000,1081000.0000,3332000.0000,0.0000,0.0000,19155000.0000,4115000.0000,13541000.0000,424000.0000,18080000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18080000.0000,1000.0000,2227000.0000,-882000.0000,-100000.0000,-171000.0000,1075000.0000,19155000.0000,
IMGN,1Q2017,195279.0000,0.0000,2121.0000,703.0000,2581.0000,200684.0000,0.0000,10783.0000,0.0000,0.0000,2129.0000,0.0000,213596.0000,16700.0000,0.0000,2473.0000,19173.0000,0.0000,3566.0000,69010.0000,0.0000,0.0000,91749.0000,847.0000,697767.0000,-576767.0000,0.0000,0.0000,121847.0000,213596.0000,
IMGN,2Q2017,175157.0000,0.0000,7768.0000,1671.0000,3140.0000,187736.0000,0.0000,10173.0000,0.0000,0.0000,2115.0000,0.0000,200024.0000,13302.0000,0.0000,3239.0000,16541.0000,0.0000,3385.0000,60657.0000,0.0000,0.0000,80583.0000,853.0000,706581.0000,-587993.0000,0.0000,0.0000,119441.0000,200024.0000,
IMGN,3Q2017,178407.0000,0.0000,5722.0000,3008.0000,2321.0000,189458.0000,0.0000,10753.0000,0.0000,0.0000,2312.0000,0.0000,202523.0000,14132.0000,0.0000,3501.0000,17633.0000,0.0000,3230.0000,51624.0000,0.0000,0.0000,72487.0000,856.0000,713361.0000,-584181.0000,0.0000,0.0000,130036.0000,202523.0000,
IPG,1Q2017,775000.0000,3100.0000,5384200.0000,0.0000,427200.0000,6589500.0000,0.0000,616300.0000,3703500.0000,0.0000,545000.0000,243600.0000,11697900.0000,6244600.0000,634900.0000,111200.0000,6990700.0000,1281900.0000,728400.0000,459300.0000,241200.0000,33400.0000,9734900.0000,39800.0000,1199700.0000,1751200.0000,-118300.0000,-909400.0000,1963000.0000,11697900.0000,
IPG,2Q2017,657600.0000,3200.0000,5482900.0000,0.0000,342800.0000,6486500.0000,0.0000,635000.0000,3753100.0000,0.0000,542700.0000,260900.0000,11678200.0000,6385100.0000,539400.0000,21700.0000,6946200.0000,1283100.0000,731400.0000,461800.0000,243400.0000,29800.0000,9695700.0000,39900.0000,1220200.0000,1774900.0000,-178300.0000,-874200.0000,1982500.0000,11678200.0000,
IPG,3Q2017,704900.0000,0.0000,5438400.0000,0.0000,320500.0000,6463800.0000,0.0000,637500.0000,3799900.0000,0.0000,544000.0000,270900.0000,11716100.0000,6111800.0000,813700.0000,20800.0000,6946300.0000,1285000.0000,749400.0000,457200.0000,238000.0000,26800.0000,9702700.0000,39900.0000,1235700.0000,1849800.0000,-279300.0000,-832700.0000,2013400.0000,11716100.0000,
IPG,4Q2016,1097600.0000,3000.0000,5907800.0000,0.0000,429600.0000,7438000.0000,0.0000,622000.0000,3674400.0000,0.0000,530500.0000,220300.0000,12485200.0000,7097600.0000,409600.0000,198800.0000,7706000.0000,1280700.0000,708300.0000,480700.0000,252800.0000,39600.0000,10468100.0000,39400.0000,1199200.0000,1804300.0000,-63300.0000,-962500.0000,2017100.0000,12485200.0000,
IVZ,1Q2017,1932700.0000,5579800.0000,1613300.0000,0.0000,9348500.0000,18474300.0000,0.0000,467900.0000,6169100.0000,1399600.0000,88000.0000,0.0000,26598900.0000,1157200.0000,14426000.0000,490900.0000,16074100.0000,2093600.0000,0.0000,390300.0000,207700.0000,169900.0000,18935600.0000,98100.0000,6167600.0000,4930600.0000,-2789300.0000,-743700.0000,7663300.0000,26598900.0000,
IVZ,2Q2017,1974200.0000,5559600.0000,1655300.0000,0.0000,10835000.0000,20024100.0000,0.0000,482200.0000,6269500.0000,1397000.0000,75700.0000,0.0000,28248500.0000,1263400.0000,15648300.0000,393200.0000,17304900.0000,2074800.0000,0.0000,366500.0000,328300.0000,201500.0000,20276000.0000,98100.0000,6206200.0000,5051300.0000,-2788900.0000,-594200.0000,7972500.0000,28248500.0000,
IVZ,3Q2017,2202200.0000,5815200.0000,1448000.0000,0.0000,12225400.0000,21690800.0000,0.0000,483000.0000,6573400.0000,1561200.0000,64100.0000,0.0000,30372500.0000,1510400.0000,17237000.0000,339900.0000,19087300.0000,2075300.0000,0.0000,351500.0000,309600.0000,234800.0000,22058500.0000,98100.0000,6248100.0000,5199800.0000,-2783500.0000,-448500.0000,8314000.0000,30372500.0000,
IVZ,4Q2016,2070200.0000,5911400.0000,1323300.0000,0.0000,8341100.0000,17646000.0000,0.0000,464700.0000,6129200.0000,1399400.0000,95000.0000,0.0000,25734300.0000,1466700.0000,13286600.0000,673400.0000,15426700.0000,2102400.0000,0.0000,309700.0000,283700.0000,108000.0000,18230500.0000,98100.0000,6227400.0000,4833400.0000,-2845800.0000,-809300.0000,7503800.0000,25734300.0000,
JACK,1Q2017,6358.0000,0.0000,39657.0000,7769.0000,58356.0000,112140.0000,0.0000,654235.0000,175525.0000,14161.0000,274838.0000,0.0000,1230899.0000,182811.0000,55762.0000,0.0000,238573.0000,1135287.0000,326455.0000,0.0000,0.0000,0.0000,1700315.0000,818.0000,448246.0000,1443131.0000,-2190439.0000,-171172.0000,-469416.0000,1230899.0000,
JACK,2Q2017,7560.0000,0.0000,56245.0000,7418.0000,91482.0000,162705.0000,0.0000,635007.0000,172963.0000,14776.0000,269768.0000,0.0000,1255219.0000,186437.0000,60115.0000,0.0000,246552.0000,1124798.0000,322865.0000,0.0000,0.0000,0.0000,1694215.0000,818.0000,450830.0000,1467671.0000,-2190439.0000,-167876.0000,-438996.0000,1255219.0000,
JACK,3Q2017,7642.0000,0.0000,68694.0000,6647.0000,56294.0000,139277.0000,0.0000,632991.0000,169049.0000,14072.0000,273032.0000,0.0000,1228421.0000,197607.0000,64383.0000,0.0000,261990.0000,1080932.0000,273531.0000,0.0000,0.0000,0.0000,1616453.0000,818.0000,453530.0000,1485820.0000,-2190439.0000,-137761.0000,-388032.0000,1228421.0000,
JACK,4Q2016,6090.0000,0.0000,54711.0000,8344.0000,33359.0000,102504.0000,0.0000,697599.0000,166045.0000,13793.0000,278616.0000,0.0000,1258557.0000,164753.0000,55931.0000,0.0000,220684.0000,985588.0000,325526.0000,0.0000,0.0000,0.0000,1531798.0000,818.0000,445147.0000,1422614.0000,-1971432.0000,-170388.0000,-273241.0000,1258557.0000,
