Symbol,Quarter,CashAndEquivalents,ShortTermInvestments,NetReceivables,Inventory,OtherCurrentAssets,TotalCurrentAssets,LongTermInvestments,FixedAssets,Goodwill,IntangibleAssets,OtherAssets,DeferredAssetCharges,TotalAssets,AccountsPayable,ShortTermDebt,OtherCurrentLiabilities,TotalCurrentLiabilities,LongTermDebt,OtherLiabilities,DeferredLiabilityCharges,MiscStocks,MinorityInterest,TotalLiabilities,CommonStocks,CapitalSurplus,RetainedEarnings,TreasuryStock,OtherEquity,TotalEquity,TotalLiabilitiesAndEquity
KIM,1Q2017,167454.0000,0.0000,198639.0000,0.0000,0.0000,0.0000,512549.0000,9945206.0000,0.0000,0.0000,424571.0000,0.0000,11248419.0000,124680.0000,0.0000,0.0000,0.0000,5124883.0000,542279.0000,0.0000,97031.0000,148211.0000,6037084.0000,4256.0000,5927172.0000,-726610.0000,0.0000,6485.0000,5211335.0000,11248419.0000,
KIM,2Q2017,143099.0000,0.0000,199402.0000,0.0000,0.0000,0.0000,520936.0000,10172239.0000,0.0000,0.0000,522644.0000,0.0000,11558320.0000,124679.0000,0.0000,0.0000,0.0000,5390180.0000,521797.0000,0.0000,96062.0000,194279.0000,6326997.0000,4256.0000,5930633.0000,-709671.0000,0.0000,6073.0000,5231323.0000,11558320.0000,
KIM,3Q2017,156588.0000,0.0000,204550.0000,0.0000,0.0000,0.0000,523492.0000,10346777.0000,0.0000,0.0000,470834.0000,0.0000,11702241.0000,123270.0000,0.0000,0.0000,0.0000,5551271.0000,603417.0000,0.0000,16139.0000,194812.0000,6488909.0000,4256.0000,5926392.0000,-715621.0000,0.0000,-1727.0000,5213332.0000,11702241.0000,
KIM,4Q2016,142486.0000,0.0000,205020.0000,0.0000,0.0000,0.0000,512310.0000,9938929.0000,0.0000,0.0000,284161.0000,147694.0000,11230600.0000,270268.0000,0.0000,0.0000,0.0000,5066368.0000,404137.0000,0.0000,86953.0000,146735.0000,5974461.0000,4250.0000,5922958.0000,-676867.0000,0.0000,5766.0000,5256139.0000,11230600.0000,
KO,1Q2017,12120000.0000,13085000.0000,3702000.0000,2885000.0000,8459000.0000,40251000.0000,17983000.0000,9746000.0000,10008000.0000,8759000.0000,4454000.0000,0.0000,91201000.0000,10519000.0000,15911000.0000,2226000.0000,28656000.0000,31538000.0000,4041000.0000,3899000.0000,0.0000,191000.0000,68325000.0000,1760000.0000,15197000.0000,65099000.0000,-48974000.0000,-10206000.0000,22876000.0000,91201000.0000,
KO,2Q2017,11718000.0000,15506000.0000,4024000.0000,2790000.0000,4923000.0000,38961000.0000,22003000.0000,8672000.0000,9449000.0000,7743000.0000,4318000.0000,0.0000,91146000.0000,10714000.0000,17833000.0000,283000.0000,28830000.0000,31805000.0000,4092000.0000,4330000.0000,0.0000,88000.0000,69145000.0000,1760000.0000,15473000.0000,64890000.0000,-49633000.0000,-10489000.0000,22001000.0000,91146000.0000,
KO,3Q2017,12528000.0000,14829000.0000,3664000.0000,2608000.0000,4775000.0000,38404000.0000,22761000.0000,8306000.0000,9473000.0000,7091000.0000,4480000.0000,0.0000,90515000.0000,10567000.0000,16629000.0000,437000.0000,27633000.0000,32471000.0000,3946000.0000,4313000.0000,0.0000,33000.0000,68396000.0000,1760000.0000,15699000.0000,64759000.0000,-50256000.0000,-9843000.0000,22119000.0000,90515000.0000,
KO,4Q2016,8555000.0000,13646000.0000,3856000.0000,2675000.0000,5278000.0000,34010000.0000,17249000.0000,10635000.0000,10629000.0000,10499000.0000,4248000.0000,0.0000,87270000.0000,9797000.0000,16025000.0000,710000.0000,26532000.0000,29684000.0000,4081000.0000,3753000.0000,0.0000,158000.0000,64208000.0000,1760000.0000,14993000.0000,65502000.0000,-47988000.0000,-11205000.0000,23062000.0000,87270000.0000,
LAYN,1Q2017,69000.0000,0.0000,142576.0000,21123.0000,17784.0000,250483.0000,55290.0000,102220.0000,8915.0000,1779.0000,17464.0000,0.0000,436151.0000,80799.0000,0.0000,64139.0000,144938.0000,162346.0000,42400.0000,4199.0000,0.0000,48.0000,353883.0000,198.0000,369160.0000,-268820.0000,0.0000,-18318.0000,82220.0000,436103.0000,
LAYN,2Q2017,54598.0000,0.0000,118332.0000,20180.0000,15899.0000,209009.0000,55009.0000,101985.0000,8915.0000,0.0000,17797.0000,0.0000,392715.0000,57668.0000,0.0000,65564.0000,123232.0000,163230.0000,42602.0000,3957.0000,0.0000,48.0000,333021.0000,198.0000,369842.0000,-291720.0000,0.0000,-18674.0000,59646.0000,392667.0000,
LAYN,3Q2017,34175.0000,0.0000,125797.0000,21035.0000,14037.0000,195044.0000,55020.0000,112460.0000,8915.0000,3654.0000,16333.0000,0.0000,391426.0000,62394.0000,0.0000,64105.0000,126499.0000,164137.0000,40895.0000,3919.0000,0.0000,48.0000,335450.0000,199.0000,370666.0000,-296626.0000,0.0000,-18311.0000,55928.0000,391378.0000,
LTRPA,1Q2017,767000.0000,15000.0000,234000.0000,0.0000,40000.0000,1056000.0000,3000.0000,174000.0000,3698000.0000,2247000.0000,124000.0000,0.0000,7302000.0000,126000.0000,7000.0000,328000.0000,461000.0000,676000.0000,215000.0000,658000.0000,0.0000,4506000.0000,6516000.0000,1000.0000,228000.0000,590000.0000,0.0000,-33000.0000,786000.0000,7302000.0000,
LTRPA,2Q2017,915000.0000,17000.0000,252000.0000,0.0000,25000.0000,1209000.0000,4000.0000,171000.0000,3707000.0000,2227000.0000,139000.0000,0.0000,7457000.0000,169000.0000,7000.0000,449000.0000,625000.0000,728000.0000,222000.0000,644000.0000,0.0000,4448000.0000,6667000.0000,1000.0000,239000.0000,578000.0000,0.0000,-28000.0000,790000.0000,7457000.0000,
LTRPA,3Q2017,773000.0000,13000.0000,254000.0000,0.0000,25000.0000,1065000.0000,6000.0000,169000.0000,3714000.0000,2207000.0000,132000.0000,0.0000,7293000.0000,128000.0000,7000.0000,287000.0000,422000.0000,736000.0000,229000.0000,629000.0000,0.0000,4491000.0000,6507000.0000,1000.0000,244000.0000,565000.0000,0.0000,-24000.0000,786000.0000,7293000.0000,
LTRPA,4Q2016,654000.0000,118000.0000,191000.0000,0.0000,47000.0000,1010000.0000,16000.0000,176000.0000,3694000.0000,2269000.0000,117000.0000,0.0000,7282000.0000,132000.0000,80000.0000,223000.0000,435000.0000,555000.0000,209000.0000,659000.0000,0.0000,4621000.0000,6479000.0000,1000.0000,245000.0000,593000.0000,0.0000,-36000.0000,803000.0000,7282000.0000,
MPW,1Q2017,446948.0000,0.0000,345823.0000,0.0000,0.0000,0.0000,1710785.0000,3958945.0000,0.0000,0.0000,318229.0000,0.0000,6780730.0000,194311.0000,0.0000,0.0000,0.0000,3277986.0000,32451.0000,19411.0000,0.0000,9790.0000,3533949.0000,321.0000,3777163.0000,-443315.0000,-777.0000,-86611.0000,3246781.0000,6780730.0000,
MPW,2Q2017,236364.0000,0.0000,369260.0000,0.0000,0.0000,0.0000,1755801.0000,4591303.0000,0.0000,0.0000,375109.0000,0.0000,7327837.0000,219527.0000,0.0000,0.0000,0.0000,3221054.0000,34943.0000,20108.0000,0.0000,14895.0000,3510527.0000,364.0000,4327733.0000,-457419.0000,-777.0000,-52591.0000,3817310.0000,7327837.0000,
MPW,3Q2017,188224.0000,0.0000,423668.0000,0.0000,0.0000,0.0000,2473384.0000,5376406.0000,0.0000,0.0000,465358.0000,0.0000,8927040.0000,180631.0000,0.0000,0.0000,0.0000,4832264.0000,54035.0000,18906.0000,0.0000,14760.0000,5100596.0000,364.0000,4330495.0000,-468473.0000,-777.0000,-35165.0000,3826444.0000,8927040.0000,
MPW,4Q2016,83240.0000,0.0000,330280.0000,0.0000,0.0000,0.0000,1708502.0000,3696565.0000,0.0000,296176.0000,303773.0000,0.0000,6418536.0000,207711.0000,0.0000,0.0000,0.0000,2909341.0000,28323.0000,19933.0000,0.0000,4850.0000,3170158.0000,321.0000,3775336.0000,-434114.0000,-262.0000,-92903.0000,3248378.0000,6418536.0000,
MRK,1Q2017,11708000.0000,3541000.0000,7066000.0000,5146000.0000,4069000.0000,31530000.0000,11896000.0000,12042000.0000,18358000.0000,16863000.0000,5872000.0000,0.0000,96561000.0000,14786000.0000,5037000.0000,0.0000,19823000.0000,23437000.0000,8324000.0000,4889000.0000,0.0000,251000.0000,56724000.0000,1788000.0000,39899000.0000,44387000.0000,-41157000.0000,-5080000.0000,39837000.0000,96561000.0000,
MRK,2Q2017,7786000.0000,4181000.0000,7439000.0000,5407000.0000,3354000.0000,28167000.0000,12138000.0000,12094000.0000,18358000.0000,16119000.0000,5928000.0000,0.0000,92804000.0000,15577000.0000,3181000.0000,0.0000,18758000.0000,21706000.0000,8068000.0000,4560000.0000,0.0000,249000.0000,53341000.0000,1788000.0000,39776000.0000,45046000.0000,-42053000.0000,-5094000.0000,39463000.0000,92804000.0000,
MRK,3Q2017,7901000.0000,3294000.0000,7671000.0000,5263000.0000,3790000.0000,27919000.0000,12206000.0000,12189000.0000,18340000.0000,15138000.0000,5884000.0000,0.0000,91676000.0000,14310000.0000,5157000.0000,0.0000,19467000.0000,21838000.0000,7713000.0000,4159000.0000,0.0000,251000.0000,53428000.0000,1788000.0000,39823000.0000,43701000.0000,-42119000.0000,-4945000.0000,38248000.0000,91676000.0000,
MRK,4Q2016,6515000.0000,7826000.0000,7018000.0000,4866000.0000,4389000.0000,30614000.0000,11416000.0000,12026000.0000,18162000.0000,17305000.0000,5854000.0000,0.0000,95377000.0000,16636000.0000,568000.0000,0.0000,17204000.0000,24274000.0000,8514000.0000,5077000.0000,0.0000,220000.0000,55289000.0000,1788000.0000,39939000.0000,44133000.0000,-40546000.0000,-5226000.0000,40088000.0000,95377000.0000,
MU,1Q2017,4048000.0000,282000.0000,3497000.0000,3064000.0000,132000.0000,11023000.0000,486000.0000,19014000.0000,1228000.0000,405000.0000,444000.0000,667000.0000,33267000.0000,3656000.0000,1161000.0000,326000.0000,5143000.0000,10485000.0000,595000.0000,0.0000,25000.0000,848000.0000,17096000.0000,111000.0000,8222000.0000,7893000.0000,-67000.0000,12000.0000,16171000.0000,33267000.0000,
MU,2Q2017,5109000.0000,319000.0000,3759000.0000,3123000.0000,147000.0000,12457000.0000,633000.0000,19431000.0000,1228000.0000,387000.0000,434000.0000,766000.0000,35336000.0000,3664000.0000,1262000.0000,408000.0000,5334000.0000,9872000.0000,639000.0000,0.0000,21000.0000,849000.0000,16715000.0000,112000.0000,8287000.0000,10260000.0000,-67000.0000,29000.0000,18621000.0000,35336000.0000,
MU,3Q2017,6008000.0000,166000.0000,3876000.0000,3160000.0000,148000.0000,13358000.0000,314000.0000,20723000.0000,1228000.0000,368000.0000,469000.0000,731000.0000,37191000.0000,3766000.0000,1401000.0000,416000.0000,5583000.0000,7644000.0000,553000.0000,0.0000,18000.0000,867000.0000,14665000.0000,116000.0000,9448000.0000,12938000.0000,0.0000,24000.0000,22526000.0000,37191000.0000,
MU,4Q2016,3633000.0000,265000.0000,2891000.0000,3000000.0000,156000.0000,9945000.0000,627000.0000,19098000.0000,1190000.0000,425000.0000,391000.0000,679000.0000,32355000.0000,3801000.0000,1117000.0000,289000.0000,5207000.0000,11308000.0000,677000.0000,0.0000,28000.0000,848000.0000,18068000.0000,111000.0000,8003000.0000,6247000.0000,-67000.0000,-7000.0000,14287000.0000,32355000.0000,
NHC,1Q2017,72647.0000,136341.0000,84214.0000,7320.0000,3928.0000,304450.0000,191481.0000,557395.0000,17600.0000,0.0000,8050.0000,0.0000,1078976.0000,110624.0000,3533.0000,17905.0000,132062.0000,145845.0000,98743.0000,25601.0000,0.0000,875.0000,403126.0000,152.0000,212366.0000,397831.0000,0.0000,65501.0000,675850.0000,1078976.0000,
NHC,2Q2017,86393.0000,148137.0000,83386.0000,7198.0000,3617.0000,328731.0000,190581.0000,555529.0000,17600.0000,0.0000,7805.0000,0.0000,1100246.0000,118838.0000,3587.0000,14623.0000,137048.0000,144927.0000,98749.0000,30064.0000,0.0000,789.0000,411577.0000,152.0000,213785.0000,401192.0000,0.0000,73540.0000,688669.0000,1100246.0000,
NHC,3Q2017,95200.0000,143763.0000,87438.0000,7113.0000,2582.0000,336096.0000,196403.0000,552343.0000,17600.0000,0.0000,8395.0000,0.0000,1110837.0000,123675.0000,3641.0000,20293.0000,147609.0000,143997.0000,97708.0000,30034.0000,0.0000,621.0000,419969.0000,152.0000,214347.0000,405250.0000,0.0000,71119.0000,690868.0000,1110837.0000,
NHC,4Q2016,52233.0000,138013.0000,90455.0000,7508.0000,2648.0000,290857.0000,211993.0000,559624.0000,17600.0000,0.0000,7373.0000,0.0000,1087447.0000,134240.0000,3481.0000,13207.0000,150928.0000,146748.0000,94726.0000,25434.0000,0.0000,0.0000,417836.0000,152.0000,211457.0000,391934.0000,0.0000,66068.0000,669611.0000,1087447.0000,
NMIH,1Q2017,12543.0000,0.0000,53914.0000,0.0000,0.0000,0.0000,662540.0000,21168.0000,0.0000,3634.0000,3669.0000,82694.0000,840162.0000,14175.0000,0.0000,0.0000,0.0000,175253.0000,162035.0000,4790.0000,0.0000,0.0000,356253.0000,598.0000,578081.0000,-90716.0000,0.0000,-4054.0000,483909.0000,840162.0000,
NMIH,2Q2017,20035.0000,0.0000,56714.0000,0.0000,0.0000,0.0000,677562.0000,21530.0000,0.0000,3634.0000,3543.0000,79977.0000,862995.0000,21349.0000,0.0000,0.0000,0.0000,176032.0000,165744.0000,4830.0000,0.0000,0.0000,367955.0000,598.0000,580499.0000,-84703.0000,0.0000,-1354.0000,495040.0000,862995.0000,
NMIH,3Q2017,20698.0000,0.0000,60971.0000,0.0000,0.0000,0.0000,697327.0000,21767.0000,0.0000,3634.0000,7624.0000,74591.0000,886612.0000,22028.0000,0.0000,0.0000,0.0000,177074.0000,171514.0000,4971.0000,0.0000,0.0000,375587.0000,599.0000,583447.0000,-72391.0000,0.0000,-630.0000,511025.0000,886612.0000,
NMIH,4Q2016,47746.0000,0.0000,51649.0000,0.0000,0.0000,0.0000,632390.0000,20402.0000,0.0000,3634.0000,2533.0000,83383.0000,841737.0000,25297.0000,0.0000,0.0000,0.0000,174986.0000,159274.0000,4831.0000,0.0000,0.0000,364388.0000,591.0000,576927.0000,-94882.0000,0.0000,-5287.0000,477349.0000,841737.0000,
NUE,1Q2017,1657759.0000,50000.0000,1980556.0000,3064170.0000,125708.0000,6878193.0000,0.0000,5133404.0000,2177276.0000,969492.0000,717095.0000,0.0000,15875460.0000,2189643.0000,648153.0000,0.0000,2837796.0000,3739908.0000,0.0000,829685.0000,0.0000,334048.0000,7741437.0000,151775.0000,1986983.0000,7866405.0000,-1554148.0000,-316992.0000,8134023.0000,15875460.0000,
NUE,2Q2017,1511353.0000,50000.0000,2081150.0000,3326563.0000,213626.0000,7182692.0000,0.0000,5062423.0000,2179641.0000,946978.0000,740991.0000,0.0000,16112725.0000,2186109.0000,1139197.0000,0.0000,3325306.0000,3240694.0000,0.0000,834812.0000,0.0000,334848.0000,7735660.0000,151920.0000,2004079.0000,8067846.0000,-1553845.0000,-292935.0000,8377065.0000,16112725.0000,
NUE,3Q2017,1575944.0000,50000.0000,2113890.0000,3522199.0000,238614.0000,7500647.0000,0.0000,5095880.0000,2208246.0000,940305.0000,758756.0000,0.0000,16503834.0000,2405096.0000,1150370.0000,0.0000,3555466.0000,3241488.0000,0.0000,861066.0000,0.0000,340429.0000,7998449.0000,151943.0000,2013158.0000,8201667.0000,-1643527.0000,-217856.0000,8505385.0000,16503834.0000,
NUE,4Q2016,2045961.0000,150000.0000,1631676.0000,2479958.0000,198798.0000,6506393.0000,0.0000,5078650.0000,2052728.0000,866835.0000,718912.0000,0.0000,15223518.0000,1772007.0000,617959.0000,0.0000,2389966.0000,3739141.0000,0.0000,839703.0000,0.0000,374843.0000,7343653.0000,151734.0000,1974672.0000,7630916.0000,-1559614.0000,-317843.0000,7879865.0000,15223518.0000,
NWL,1Q2017,687500.0000,0.0000,2559600.0000,2476600.0000,765000.0000,6488700.0000,0.0000,1563900.0000,10321100.0000,14010000.0000,860200.0000,91400.0000,33335300.0000,3370600.0000,852500.0000,95100.0000,4318200.0000,10332100.0000,1771400.0000,4883800.0000,0.0000,34200.0000,21339700.0000,505800.0000,10166700.0000,2835500.0000,-563700.0000,-948700.0000,11995600.0000,33335300.0000,
NWL,2Q2017,780200.0000,0.0000,2988700.0000,2649500.0000,712500.0000,7130900.0000,0.0000,1653200.0000,10461900.0000,14266600.0000,398100.0000,39300.0000,33950000.0000,3453000.0000,1221000.0000,117300.0000,4791300.0000,10172800.0000,1777400.0000,4930300.0000,0.0000,33800.0000,21705600.0000,506300.0000,10189200.0000,2946700.0000,-572800.0000,-825000.0000,12244400.0000,33950000.0000,
NWL,3Q2017,792300.0000,0.0000,2916000.0000,2861500.0000,379500.0000,6949300.0000,0.0000,1675200.0000,10526500.0000,14307600.0000,394000.0000,35400.0000,33888000.0000,3483200.0000,1291000.0000,0.0000,4774200.0000,10184400.0000,1270900.0000,4888500.0000,0.0000,35600.0000,21153600.0000,513000.0000,10498500.0000,3067700.0000,-573200.0000,-771600.0000,12734400.0000,33888000.0000,
NWL,4Q2016,587500.0000,0.0000,2746900.0000,2116000.0000,2034100.0000,7484500.0000,0.0000,1543400.0000,10218900.0000,14111800.0000,383600.0000,95300.0000,33837500.0000,3349600.0000,601900.0000,340500.0000,4292000.0000,11290900.0000,1787400.0000,5082800.0000,0.0000,35600.0000,22488700.0000,504800.0000,10144200.0000,2289900.0000,-545300.0000,-1044800.0000,11348800.0000,33837500.0000,
PFE,1Q2017,4057000.0000,10503000.0000,11683000.0000,7415000.0000,2221000.0000,35878000.0000,7346000.0000,13238000.0000,54656000.0000,52427000.0000,3329000.0000,1909000.0000,168784000.0000,6041000.0000,7680000.0000,11143000.0000,24864000.0000,40357000.0000,13960000.0000,30857000.0000,0.0000,311000.0000,110349000.0000,463000.0000,83111000.0000,74847000.0000,-89414000.0000,-10594000.0000,58435000.0000,168784000.0000,
PFE,2Q2017,2585000.0000,11748000.0000,12589000.0000,7584000.0000,1880000.0000,36385000.0000,7008000.0000,13386000.0000,55014000.0000,51348000.0000,3466000.0000,1952000.0000,168558000.0000,7520000.0000,9514000.0000,10148000.0000,27182000.0000,38287000.0000,13516000.0000,30879000.0000,0.0000,326000.0000,110189000.0000,463000.0000,83373000.0000,74107000.0000,-89416000.0000,-10181000.0000,58368000.0000,168557000.0000,
PFE,3Q2017,2779000.0000,14146000.0000,13265000.0000,7925000.0000,2174000.0000,40289000.0000,7311000.0000,13505000.0000,56078000.0000,49721000.0000,3388000.0000,1858000.0000,172151000.0000,8324000.0000,9448000.0000,10446000.0000,28217000.0000,38807000.0000,13606000.0000,30411000.0000,0.0000,340000.0000,111381000.0000,463000.0000,83827000.0000,75043000.0000,-89421000.0000,-9164000.0000,60770000.0000,172151000.0000,
PFE,4Q2016,2595000.0000,15255000.0000,11266000.0000,6783000.0000,3050000.0000,38949000.0000,7116000.0000,13318000.0000,54449000.0000,52648000.0000,3323000.0000,1812000.0000,171615000.0000,9404000.0000,10688000.0000,11023000.0000,31115000.0000,35398000.0000,14509000.0000,30753000.0000,0.0000,296000.0000,112072000.0000,461000.0000,82685000.0000,71774000.0000,-84364000.0000,-11036000.0000,59544000.0000,171616000.0000,
RRR,1Q2017,122021.0000,0.0000,46318.0000,10857.0000,56543.0000,235739.0000,10187.0000,2611850.0000,195676.0000,144124.0000,74996.0000,243908.0000,3516480.0000,212269.0000,46443.0000,0.0000,258712.0000,2581664.0000,12510.0000,0.0000,0.0000,295993.0000,3148879.0000,662.0000,332650.0000,30803.0000,0.0000,3486.0000,367601.0000,3516480.0000,
RRR,2Q2017,128136.0000,0.0000,50657.0000,11131.0000,55771.0000,245695.0000,10005.0000,2644459.0000,195676.0000,137964.0000,79973.0000,250296.0000,3564068.0000,196307.0000,72215.0000,0.0000,268522.0000,2702087.0000,12434.0000,0.0000,0.0000,245187.0000,3228230.0000,682.0000,334235.0000,-1879.0000,0.0000,2800.0000,335838.0000,3564068.0000,
RRR,3Q2017,486835.0000,0.0000,48807.0000,11460.0000,43698.0000,590800.0000,10158.0000,2667392.0000,195676.0000,132982.0000,78536.0000,252114.0000,3927658.0000,181298.0000,277990.0000,0.0000,459288.0000,2867320.0000,13855.0000,0.0000,0.0000,245188.0000,3585651.0000,688.0000,335632.0000,3087.0000,0.0000,2600.0000,342007.0000,3927658.0000,
RRR,4Q2016,136153.0000,0.0000,51245.0000,11956.0000,50487.0000,249841.0000,10572.0000,2601829.0000,195676.0000,149199.0000,74572.0000,244466.0000,3526155.0000,199693.0000,47084.0000,0.0000,246777.0000,2633678.0000,12348.0000,0.0000,0.0000,283604.0000,3176407.0000,660.0000,329002.0000,17628.0000,0.0000,2458.0000,349748.0000,3526155.0000,
SLCA,1Q2017,660903.0000,0.0000,139970.0000,69458.0000,13798.0000,884129.0000,0.0000,806288.0000,242301.0000,139724.0000,14798.0000,0.0000,2087240.0000,90445.0000,7224.0000,18926.0000,116595.0000,507909.0000,72837.0000,116003.0000,0.0000,0.0000,813344.0000,812.0000,1131253.0000,160600.0000,-3422.0000,-15347.0000,1273896.0000,2087240.0000,
SLCA,2Q2017,598535.0000,0.0000,159110.0000,74278.0000,10254.0000,842177.0000,0.0000,919840.0000,246181.0000,150960.0000,15013.0000,0.0000,2174171.0000,125155.0000,6793.0000,25402.0000,157350.0000,506433.0000,76044.0000,132136.0000,0.0000,0.0000,871963.0000,812.0000,1134245.0000,184959.0000,-491.0000,-17317.0000,1302208.0000,2174171.0000,
SLCA,3Q2017,463650.0000,0.0000,206099.0000,86174.0000,15124.0000,771047.0000,0.0000,1049805.0000,301744.0000,149337.0000,14973.0000,0.0000,2286906.0000,171377.0000,5825.0000,33089.0000,210291.0000,506737.0000,70975.0000,150108.0000,0.0000,0.0000,938111.0000,812.0000,1140554.0000,221132.0000,0.0000,-13703.0000,1348795.0000,2286906.0000,
SLCA,4Q2016,711225.0000,0.0000,89006.0000,78709.0000,14005.0000,892945.0000,0.0000,783313.0000,240975.0000,140478.0000,15509.0000,0.0000,2073220.0000,89202.0000,7058.0000,13700.0000,109960.0000,509134.0000,72671.0000,108165.0000,0.0000,0.0000,799930.0000,811.0000,1129051.0000,163173.0000,-3869.0000,-15876.0000,1273290.0000,2073220.0000,
STLD,1Q2017,966826.0000,0.0000,883147.0000,1361550.0000,33442.0000,3244965.0000,0.0000,2760544.0000,391740.0000,276553.0000,30233.0000,0.0000,6704035.0000,878482.0000,2965.0000,0.0000,881447.0000,2353744.0000,19711.0000,454426.0000,111240.0000,-151712.0000,3668856.0000,641.0000,1135892.0000,2373718.0000,-475072.0000,0.0000,3035179.0000,6704035.0000,
STLD,2Q2017,908843.0000,0.0000,886894.0000,1418732.0000,37188.0000,3251657.0000,0.0000,2729721.0000,390129.0000,269129.0000,29494.0000,0.0000,6670130.0000,775921.0000,19971.0000,0.0000,795892.0000,2354337.0000,20781.0000,459639.0000,111240.0000,-152698.0000,3589191.0000,641.0000,1141050.0000,2490373.0000,-551125.0000,0.0000,3080939.0000,6670130.0000,
STLD,3Q2017,1101964.0000,0.0000,923017.0000,1487516.0000,59648.0000,3572145.0000,0.0000,2708777.0000,388518.0000,263357.0000,27940.0000,0.0000,6960737.0000,883868.0000,182661.0000,0.0000,1066529.0000,2351483.0000,20305.0000,461399.0000,111240.0000,-154944.0000,3856012.0000,641.0000,1147463.0000,2606831.0000,-650210.0000,0.0000,3104725.0000,6960737.0000,
STLD,4Q2016,841483.0000,0.0000,729784.0000,1275211.0000,83197.0000,2929675.0000,0.0000,2787215.0000,393351.0000,283977.0000,29514.0000,0.0000,6423732.0000,709183.0000,3632.0000,0.0000,712815.0000,2353194.0000,20649.0000,448375.0000,111240.0000,-149561.0000,3496712.0000,641.0000,1132749.0000,2210459.0000,-416829.0000,0.0000,2927020.0000,6423732.0000,
T,1Q2017,14884000.0000,0.0000,15078000.0000,0.0000,15765000.0000,45727000.0000,1551000.0000,125292000.0000,105593000.0000,116278000.0000,17462000.0000,0.0000,411903000.0000,38009000.0000,12681000.0000,0.0000,50690000.0000,120568000.0000,54564000.0000,61100000.0000,0.0000,1140000.0000,288062000.0000,6495000.0000,89411000.0000,35175000.0000,-12400000.0000,5160000.0000,123841000.0000,411903000.0000,
T,2Q2017,25617000.0000,0.0000,14997000.0000,0.0000,12933000.0000,53547000.0000,1615000.0000,126184000.0000,105546000.0000,116258000.0000,17645000.0000,0.0000,420795000.0000,37181000.0000,10831000.0000,0.0000,48012000.0000,132824000.0000,52175000.0000,61926000.0000,0.0000,1133000.0000,296070000.0000,6495000.0000,89471000.0000,36067000.0000,-12697000.0000,5389000.0000,124725000.0000,420795000.0000,
T,3Q2017,48499000.0000,0.0000,15876000.0000,0.0000,11982000.0000,76357000.0000,1627000.0000,126462000.0000,105668000.0000,115419000.0000,18332000.0000,0.0000,443865000.0000,39142000.0000,8551000.0000,0.0000,47693000.0000,154728000.0000,50954000.0000,64381000.0000,0.0000,1149000.0000,318905000.0000,6495000.0000,89527000.0000,36074000.0000,-12716000.0000,5580000.0000,124960000.0000,443865000.0000,
T,4Q2016,5788000.0000,0.0000,16794000.0000,0.0000,15787000.0000,38369000.0000,1674000.0000,124899000.0000,105207000.0000,116860000.0000,16812000.0000,0.0000,403821000.0000,40744000.0000,9832000.0000,0.0000,50576000.0000,113681000.0000,55326000.0000,60128000.0000,0.0000,975000.0000,280686000.0000,6495000.0000,89604000.0000,34734000.0000,-12659000.0000,4961000.0000,123135000.0000,403821000.0000,
TWLO,1Q2017,118440.0000,170086.0000,29959.0000,0.0000,23229.0000,341714.0000,0.0000,40931.0000,16183.0000,22756.0000,8182.0000,0.0000,429766.0000,68492.0000,0.0000,11108.0000,79600.0000,0.0000,12306.0000,0.0000,0.0000,0.0000,91906.0000,90.0000,538917.0000,-200957.0000,0.0000,-190.0000,337860.0000,429766.0000,
TWLO,2Q2017,92184.0000,197031.0000,37321.0000,0.0000,19108.0000,345644.0000,0.0000,44083.0000,16950.0000,22324.0000,8946.0000,0.0000,437947.0000,54818.0000,0.0000,12583.0000,67401.0000,0.0000,12438.0000,0.0000,0.0000,0.0000,79839.0000,92.0000,564795.0000,-208066.0000,0.0000,1287.0000,358108.0000,437947.0000,
TWLO,3Q2017,91906.0000,192031.0000,37258.0000,0.0000,26420.0000,347615.0000,0.0000,47718.0000,17407.0000,21274.0000,9534.0000,0.0000,443548.0000,62400.0000,0.0000,13599.0000,75999.0000,0.0000,12549.0000,0.0000,0.0000,0.0000,88548.0000,93.0000,584390.0000,-231519.0000,0.0000,2036.0000,355000.0000,443548.0000,
TWLO,4Q2016,305665.0000,0.0000,26203.0000,0.0000,21512.0000,353380.0000,0.0000,37552.0000,3565.0000,10268.0000,7929.0000,0.0000,412694.0000,63482.0000,0.0000,10222.0000,73704.0000,0.0000,9543.0000,0.0000,0.0000,0.0000,83247.0000,87.0000,516090.0000,-186730.0000,0.0000,0.0000,329447.0000,412694.0000,
TYPE,1Q2017,86946.0000,0.0000,24185.0000,0.0000,5534.0000,116665.0000,0.0000,15273.0000,274166.0000,89014.0000,21003.0000,0.0000,516121.0000,25579.0000,0.0000,17511.0000,43090.0000,102000.0000,21540.0000,36055.0000,0.0000,0.0000,202685.0000,44.0000,280981.0000,99348.0000,-57305.0000,-9632.0000,313436.0000,516121.0000,
TYPE,2Q2017,83699.0000,0.0000,27290.0000,0.0000,6213.0000,117202.0000,0.0000,15589.0000,276941.0000,87949.0000,21008.0000,0.0000,518689.0000,27376.0000,0.0000,17226.0000,44602.0000,99000.0000,23594.0000,35556.0000,0.0000,0.0000,202752.0000,44.0000,286607.0000,94117.0000,-58992.0000,-5839.0000,315937.0000,518689.0000,
