Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange
CEL-SCI WT, CVM%, 0.03, 0.04, 0.03, 0.03, 0.01, 42.86, 37900, 0.09, 0.0, 0.0, 0.0, 0.0, 57.89, NYSE American
iBio, IBIO, 0.18, 0.26, 0.18, 0.23, 0.04, 24.25, 13391932, 0.56, 0.14, 0.0, 0.0, 0.0, 28.46, NYSE American
Energy Fuels WT, UUUU%, 0.7, 0.7, 0.7, 0.7, 0.1, 15.78, 100, 1.3, 0.37, 0.0, 0.0, 0.0, -9.91, NYSE American
eMagin, EMAN, 1.35, 1.55, 1.23, 1.5, 0.15, 11.11, 639637, 3.0, 1.23, 0.0, 0.0, 0.0, -9.09, NYSE American
NanoViricides, NNVC, 0.85, 1.0, 0.85, 0.93, 0.07, 8.51, 601420, 1.64, 0.83, 0.0, 0.0, 0.0, 5.42, NYSE American
Retractable Technologies, RVP, 0.74, 0.83, 0.73, 0.8, 0.06, 8.17, 1286561, 1.48, 0.54, 0.0, 0.0, 0.0, 17.6, NYSE American
McClatchy Cl A, MNI, 8.43, 9.2, 8.29, 9.0, 0.64, 7.66, 8017, 12.99, 5.75, 0.0, 0.0, 0.0, 0.78, NYSE American
Camber Energy, CEI, 0.11, 0.12, 0.11, 0.12, 0.01, 7.62, 8771075, 1.09, 0.1, 0.0, 0.0, 0.0, -0.57, NYSE American
Reed's, REED, 1.45, 1.55, 1.45, 1.55, 0.1, 6.9, 43864, 4.75, 1.3, 0.0, 0.0, 0.0, 0.0, NYSE American
NTN Buzztime, NTN, 5.64, 5.79, 5.64, 5.79, 0.24, 4.32, 3894, 8.85, 3.01, 0.0, 0.0, 0.0, 37.53, NYSE American
Auryn Resources, AUG, 1.8, 1.8, 1.59, 1.75, 0.07, 4.17, 305969, 3.0, 1.29, 0.0, 0.0, 0.0, 6.71, NYSE American
General Moly, GMO, 0.4, 0.43, 0.36, 0.4, 0.02, 3.95, 282366, 0.72, 0.28, 0.0, 0.0, 0.0, 19.91, NYSE American
