Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange
MSA Safety, MSA, 77.98, 78.79, 75.85, 76.0, -2.87, -3.64, 237093, 86.36, 65.95, 1.4, 1.84, 35.02, -1.96, NYSE
ONE Gas, OGS, 69.19, 69.61, 66.67, 66.74, -2.52, -3.64, 322271, 79.51, 63.06, 1.84, 2.76, 22.32, -8.9, NYSE
Precision Drilling, PDS, 3.47, 3.6, 3.35, 3.44, -0.13, -3.64, 5923070, 5.95, 2.26, 0.0, 0.0, 0.0, 13.91, NYSE
TEGNA, TGNA, 13.91, 14.11, 13.5, 13.5, -0.51, -3.64, 2386285, 17.07, 11.59, 0.28, 2.07, 28.88, -4.12, NYSE
Bank of Marin Bancorp, BMRC, 68.1, 68.7, 65.8, 66.1, -2.5, -3.64, 24873, 77.9, 59.05, 1.16, 1.75, 25.62, -2.79, NASDAQ Capital
ARK Restaurants, ARKR, 25.5, 25.5, 25.0, 25.05, -0.95, -3.65, 1133, 29.49, 21.75, 1.0, 3.99, 21.97, -7.33, NASDAQ Global
Anthem, ANTM, 238.11, 239.66, 227.81, 230.45, -8.73, -3.65, 1917157, 267.95, 155.35, 3.0, 1.3, 16.05, 2.42, NYSE
China Petroleum&Chemical ADR, SNP, 86.1, 86.1, 83.0, 83.35, -3.16, -3.65, 254654, 89.68, 69.6, 3.0, 3.6, 12.4, 13.6, NYSE
Continental Resources, CLR, 52.99, 54.2, 51.63, 51.78, -1.96, -3.65, 2874343, 58.89, 29.08, 0.0, 0.0, 0.0, -2.25, NYSE
Western Union, WU, 20.15, 20.24, 19.53, 19.54, -0.74, -3.65, 5380365, 22.21, 18.39, 0.7, 3.58, 42.48, 2.79, NYSE
Wins Finance Holdings, WINS, 136.31, 136.31, 132.0, 132.0, -5.0, -3.65, 866, 452.33, 19.8, 0.0, 0.0, 176.0, -26.67, NASDAQ Capital
Benchmark Electronics, BHE, 28.35, 28.6, 27.55, 27.6, -1.05, -3.66, 506043, 35.8, 27.55, 0.0, 0.0, 22.08, -5.15, NYSE
Dollar General, DG, 98.68, 100.45, 95.79, 95.8, -3.64, -3.66, 2698239, 105.82, 65.97, 1.04, 1.09, 21.19, 3.0, NYSE
Domtar, UFS, 48.85, 49.29, 47.1, 47.37, -1.8, -3.66, 736708, 52.58, 35.47, 1.66, 3.5, 16.98, -4.34, NYSE
Ecolab, ECL, 136.62, 138.1, 132.05, 132.05, -5.01, -3.66, 1788880, 140.5, 119.09, 1.64, 1.24, 29.67, -1.59, NYSE
New Jersey Resources, NJR, 38.2, 38.6, 36.9, 36.9, -1.4, -3.66, 724175, 45.45, 36.4, 1.09, 2.95, 24.28, -8.21, NYSE
Oshkosh, OSK, 85.68, 86.62, 83.94, 84.25, -3.2, -3.66, 1425009, 100.26, 61.74, 0.96, 1.14, 19.87, -7.31, NYSE
Coffee Holding, JVA, 4.02, 4.09, 3.95, 3.95, -0.15, -3.66, 17263, 5.09, 3.76, 0.0, 0.0, 49.19, -7.21, NASDAQ Capital
Grupo Financiero Galicia ADR, GGAL, 62.24, 62.5, 61.16, 61.32, -2.33, -3.66, 606918, 73.45, 31.13, 0.0, 0.0, 17.44, -6.88, NASDAQ Capital
Odyssey Marine Exploration, OMEX, 3.85, 3.89, 3.66, 3.68, -0.14, -3.66, 28434, 5.07, 2.98, 0.0, 0.0, 0.0, -2.39, NASDAQ Capital
International Seaways, INSW, 16.48, 16.92, 16.0, 16.02, -0.61, -3.67, 294113, 23.43, 16.0, 0.0, 0.0, 0.0, -13.22, NYSE
Kohl's, KSS, 62.5, 64.24, 61.04, 61.14, -2.33, -3.67, 3735897, 69.14, 35.16, 2.2, 3.6, 16.22, 12.74, NYSE
Paramount Group, PGRE, 14.64, 14.68, 14.18, 14.19, -0.54, -3.67, 2235012, 17.58, 14.18, 0.38, 2.68, 38.19, -10.47, NYSE
Schweitzer-Mauduit International, SWM, 43.42, 43.94, 41.97, 42.02, -1.6, -3.67, 151769, 48.06, 36.26, 1.72, 4.09, 18.03, -7.36, NYSE
Valero Energy, VLO, 91.84, 93.66, 82.9, 89.77, -3.42, -3.67, 6914568, 99.95, 60.69, 3.2, 3.56, 9.72, -2.33, NYSE
Waddell&Reed Financial, WDR, 21.49, 22.32, 20.82, 20.97, -0.8, -3.67, 2015513, 23.82, 16.11, 1.0, 4.77, 14.17, -6.13, NYSE
Daseke, DSKE, 13.21, 13.37, 12.67, 12.86, -0.49, -3.67, 147130, 14.52, 8.76, 0.0, 0.0, 0.0, -10.01, NASDAQ Capital
Alnylam Pharmaceuticals, ALNY, 123.63, 126.74, 118.93, 119.92, -4.58, -3.68, 978420, 147.63, 39.66, 0.0, 0.0, 0.0, -5.61, NASDAQ Global
Arch Capital Group, ACGL, 90.38, 90.98, 87.46, 87.6, -3.35, -3.68, 458469, 102.6, 86.58, 0.0, 0.0, 28.26, -3.49, NASDAQ Global
Hannon Armstrong Sustainable Infrastructure Capital, HASI, 20.77, 20.78, 20.06, 20.18, -0.77, -3.68, 626513, 25.28, 18.02, 1.32, 6.54, 32.98, -16.13, NYSE
Marriott Vacations Worldwide, VAC, 144.7, 145.33, 138.59, 140.24, -5.36, -3.68, 189935, 154.14, 86.03, 1.6, 1.14, 23.14, 3.72, NYSE
Park Hotels&Resorts, PK, 27.88, 27.96, 26.96, 26.98, -1.03, -3.68, 1573812, 29.93, 24.65, 2.2, 8.15, 2.23, -6.16, NYSE
Walt Disney, DIS, 107.1, 108.63, 104.01, 104.7, -4.0, -3.68, 14375524, 116.1, 96.2, 1.68, 1.6, 18.4, -2.61, NYSE
Albany International Cl A, AIN, 61.65, 62.55, 59.6, 60.05, -2.3, -3.69, 118995, 65.65, 43.45, 0.68, 1.13, 45.15, -2.28, NYSE
Merck&Co, MRK, 58.27, 58.95, 55.82, 56.4, -2.16, -3.69, 18940562, 66.8, 53.63, 1.92, 3.4, 60.65, 0.23, NYSE
Tailored Brands, TLRD, 22.68, 23.74, 22.19, 22.19, -0.85, -3.69, 1185476, 26.03, 9.4, 0.72, 3.24, 16.32, 1.65, NYSE
William Lyon Homes, WLH, 25.74, 26.3, 25.01, 25.05, -0.96, -3.69, 542452, 32.95, 16.8, 0.0, 0.0, 16.37, -13.86, NYSE
Hubbell, HUBB, 133.25, 133.37, 128.6, 128.9, -4.95, -3.7, 472306, 149.03, 109.31, 3.08, 2.39, 29.3, -4.76, NYSE
Jones Lang LaSalle, JLL, 149.92, 151.23, 144.88, 146.06, -5.61, -3.7, 398833, 158.82, 101.83, 0.74, 0.51, 19.58, -1.93, NYSE
Texas Pacific Land Trust Sub Share Ctf, TPL, 511.09, 518.7, 490.0, 500.9, -19.27, -3.7, 24194, 569.99, 259.0, 0.35, 0.07, 77.15, 12.15, NYSE
Veeva Systems Cl A, VEEV, 59.3, 59.9, 57.54, 57.82, -2.22, -3.7, 1017133, 68.07, 41.3, 0.0, 0.0, 63.3, 4.59, NYSE
Watts Water Technologies Cl A, WTS, 79.05, 79.9, 76.7, 76.75, -2.95, -3.7, 101334, 82.35, 59.15, 0.76, 0.99, 28.43, 1.05, NYSE
First of Long Island, FLIC, 28.15, 28.4, 27.3, 27.35, -1.05, -3.7, 41073, 33.5, 25.6, 0.6, 2.19, 19.13, -4.04, NASDAQ Capital
Americas Silver, USAS, 3.84, 3.91, 3.62, 3.65, -0.14, -3.7, 70793, 5.04, 2.5, 0.0, 0.0, 0.0, 0.83, NYSE American
DaVita, DVA, 75.23, 76.3, 72.79, 72.84, -2.81, -3.71, 1649308, 80.71, 52.51, 0.0, 0.0, 28.02, 0.82, NYSE
International Game Technology, IGT, 28.56, 29.0, 27.73, 27.77, -1.07, -3.71, 869292, 29.89, 17.25, 0.8, 2.88, 0.0, 4.75, NYSE
Nationwide Maximum Diversification U.S. Core Equity ETF, MXDU, 27.19, 27.19, 26.51, 26.51, -1.02, -3.71, 10241, 28.4, 24.71, 0.0, 0.0, 0.0, -0.45, NYSE
American Railcar Industries, ARII, 37.84, 38.42, 36.66, 36.77, -1.42, -3.72, 79599, 49.33, 34.3, 1.6, 4.35, 13.42, -11.7, NASDAQ Global
Adecoagro, AGRO, 9.34, 9.37, 9.0, 9.05, -0.35, -3.72, 495085, 12.9, 8.33, 0.0, 0.0, 40.95, -12.48, NYSE
Las Vegas Sands, LVS, 74.69, 75.49, 71.94, 72.38, -2.8, -3.72, 6013607, 79.84, 51.35, 3.0, 4.14, 20.45, 4.16, NYSE
Entravision Communications, EVC, 6.65, 6.75, 6.45, 6.45, -0.25, -3.73, 599265, 7.9, 5.05, 0.2, 3.1, 3.47, -9.79, NYSE
Kimberly-Clark, KMB, 116.03, 117.02, 111.62, 111.88, -4.33, -3.73, 3354813, 136.21, 109.67, 4.0, 3.58, 17.45, -7.28, NYSE
Polaris Industries, PII, 108.71, 110.47, 105.0, 106.1, -4.11, -3.73, 1244400, 137.66, 77.91, 2.4, 2.26, 39.44, -14.43, NYSE
Motif Bio ADR, MTFB, 10.51, 10.97, 10.22, 10.59, -0.41, -3.73, 2200, 13.75, 5.8, 0.0, 0.0, 0.0, -2.04, NASDAQ Capital
U.S. Global Investors Cl A, GROW, 3.15, 3.2, 3.06, 3.1, -0.12, -3.73, 262634, 7.49, 1.25, 0.03, 0.97, 109.15, -20.51, NASDAQ Capital
Atlas Air Worldwide Holdings, AAWW, 54.5, 55.2, 52.33, 52.75, -2.05, -3.74, 304372, 68.7, 45.45, 0.0, 0.0, 50.72, -10.06, NASDAQ Global
Diana Shipping, DSX, 3.48, 3.54, 3.34, 3.35, -0.13, -3.74, 671184, 6.2, 3.3, 0.0, 0.0, 0.0, -17.69, NYSE
Mueller Industries, MLI, 31.79, 32.05, 30.84, 30.85, -1.2, -3.74, 262783, 43.96, 27.72, 0.4, 1.3, 18.25, -12.93, NYSE
Pure Storage Cl A, PSTG, 19.12, 19.92, 18.92, 19.04, -0.74, -3.74, 2080097, 21.23, 9.12, 0.0, 0.0, 0.0, 20.05, NYSE
Restaurant Brands International, QSR, 58.52, 58.93, 56.64, 56.83, -2.21, -3.74, 2304857, 68.89, 49.04, 0.84, 1.48, 39.19, -7.56, NYSE
BancFirst, BANF, 54.65, 55.5, 52.85, 53.27, -2.08, -3.75, 67159, 61.05, 42.5, 0.84, 1.58, 20.08, 4.15, NASDAQ Global
BioMarin Pharmaceutical, BMRN, 90.6, 91.06, 87.28, 87.41, -3.41, -3.75, 1817371, 100.51, 80.1, 0.0, 0.0, 0.0, -1.97, NASDAQ Global
Alleghany, Y, 612.69, 615.58, 593.69, 594.8, -23.16, -3.75, 64017, 667.19, 521.07, 0.0, 0.0, 0.0, -0.22, NYSE
Brady Cl A, BRC, 37.15, 37.5, 35.85, 35.95, -1.4, -3.75, 163722, 40.5, 31.7, 0.83, 2.31, 18.99, -5.15, NYSE
Companhia Siderurgica Nacional ADR, SID, 3.2, 3.25, 3.03, 3.08, -0.12, -3.75, 4874386, 4.24, 1.76, 0.06, 2.02, 0.0, 25.71, NYSE
