Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange
Oncobiologics WT Series B, ONSIZ, 0.04, 0.06, 0.04, 0.04, 0.01, 31.67, 5554, 0.64, 0.02, 0.0, 0.0, 0.0, 86.32, NASDAQ Global
Actua, ACTA, 0.95, 0.95, 0.75, 0.85, 0.19, 28.79, 3325684, 16.05, 0.75, 0.0, 0.0, 0.0, -94.55, NASDAQ Global
USA Truck, USAK, 24.18, 25.25, 21.97, 24.99, 4.91, 24.45, 543598, 25.25, 5.73, 0.0, 0.0, 0.0, 37.84, NASDAQ Global
Johnson Outdoors Cl A, JOUT, 65.23, 74.73, 64.16, 74.48, 13.46, 22.06, 131897, 76.18, 31.25, 0.4, 0.54, 21.0, 19.95, NASDAQ Global
Viavi Solutions, VIAV, 9.91, 10.5, 9.65, 10.0, 1.33, 15.34, 12636336, 11.89, 8.34, 0.0, 0.0, 76.92, 14.42, NASDAQ Global
Viking Therapeutics, VKTX, 5.69, 6.37, 5.29, 6.07, 0.76, 14.31, 9022349, 6.37, 0.88, 0.0, 0.0, 0.0, 49.51, NASDAQ Global
athenahealth, ATHN, 133.0, 144.92, 132.5, 142.25, 17.34, 13.88, 1810572, 158.66, 95.01, 0.0, 0.0, 109.04, 6.92, NASDAQ Global
Mobile Mini, MINI, 41.9, 43.6, 40.2, 42.4, 4.2, 10.99, 785240, 43.6, 26.7, 0.91, 2.14, 37.86, 22.9, NASDAQ Global
ARMO Biosciences, ARMO, 29.95, 36.0, 29.62, 33.32, 3.23, 10.73, 479824, 36.0, 27.0, 0.0, 0.0, 0.0, 12.04, NASDAQ Global
Alkermes, ALKS, 58.0, 64.04, 57.94, 63.42, 5.09, 8.73, 2883846, 64.04, 46.42, 0.0, 0.0, 0.0, 15.88, NASDAQ Global
ConforMIS, CFMS, 1.29, 1.46, 1.29, 1.41, 0.11, 8.46, 1080738, 8.61, 1.28, 0.0, 0.0, 0.0, -40.76, NASDAQ Global
Mattel, MAT, 14.44, 16.95, 14.32, 16.53, 1.21, 7.9, 16438983, 26.8, 12.71, 0.0, 0.0, 0.0, 7.48, NASDAQ Global
China Internet Nationwide Financial Services, CIFS, 43.88, 47.0, 43.4, 46.59, 2.93, 6.71, 285573, 66.1, 10.81, 0.0, 0.0, 0.0, 11.06, NASDAQ Global
Boston Private Financial Holdings Wt, BPFHW, 10.02, 10.02, 10.02, 10.02, 0.63, 6.66, 500, 11.66, 8.18, 0.0, 0.0, 0.0, 4.11, NASDAQ Global
Cimpress, CMPR, 153.16, 162.8, 150.93, 162.49, 9.48, 6.2, 1117331, 162.8, 78.8, 0.0, 0.0, 0.0, 35.54, NASDAQ Global
Solid Biosciences, SLDB, 27.41, 29.0, 26.22, 29.0, 1.69, 6.19, 302246, 29.25, 19.12, 0.0, 0.0, 0.0, 28.21, NASDAQ Global
Marlin Business Services, MRLN, 25.8, 26.25, 25.5, 25.75, 1.45, 5.97, 50731, 29.95, 20.26, 0.56, 2.17, 22.99, 14.96, NASDAQ Global
Qumu, QUMU, 1.83, 2.0, 1.83, 1.99, 0.11, 5.86, 80395, 3.28, 1.8, 0.0, 0.0, 0.0, -16.03, NASDAQ Global
Allena Pharmaceuticals, ALNA, 8.13, 8.8, 8.0, 8.69, 0.46, 5.59, 55206, 15.4, 8.0, 0.0, 0.0, 0.0, -13.62, NASDAQ Global
Tintri, TNTR, 5.39, 5.69, 5.31, 5.67, 0.29, 5.39, 285842, 7.75, 2.78, 0.0, 0.0, 0.0, 11.18, NASDAQ Global
QCR Holdings, QCRH, 45.4, 46.88, 44.7, 46.45, 2.3, 5.21, 117574, 50.0, 39.85, 0.2, 0.43, 18.22, 8.4, NASDAQ Global
Energy Recovery, ERII, 7.47, 7.92, 7.4, 7.89, 0.39, 5.2, 656012, 11.3, 6.13, 0.0, 0.0, 112.71, -9.83, NASDAQ Global
Seneca Foods Cl B, SENEB, 34.25, 34.3, 34.0, 34.0, 1.64, 5.07, 709, 41.08, 29.3, 0.0, 0.0, 82.93, 0.0, NASDAQ Global
Zafgen, ZFGN, 7.16, 7.88, 6.99, 7.51, 0.36, 5.03, 544023, 7.88, 3.21, 0.0, 0.0, 0.0, 62.55, NASDAQ Global
