Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange
Pacific Coast Oil Trust, ROYT, 2.5, 2.54, 2.33, 2.37, -0.11, -4.44, 210735, 2.75, 1.26, 0.2, 8.28, 28.59, 22.16, NYSE
Argos Therapeutics, ARGS, 2.2, 2.29, 2.1, 2.15, -0.1, -4.44, 491629, 106.0, 2.0, 0.0, 0.0, 0.0, -28.33, NASDAQ Capital
Bridgepoint Education, BPI, 8.08, 8.12, 7.66, 7.73, -0.36, -4.45, 212442, 15.85, 7.53, 0.0, 0.0, 54.71, -6.87, NYSE
Gemphire Therapeutics, GEMP, 10.39, 10.39, 9.83, 9.83, -0.46, -4.47, 48512, 21.59, 6.61, 0.0, 0.0, 0.0, 23.72, NASDAQ Global
Hawaiian Holdings, HA, 39.2, 39.33, 37.25, 37.35, -1.75, -4.48, 1529710, 59.45, 32.4, 0.48, 1.29, 5.45, -6.27, NASDAQ Global
Ameri Holdings, AMRH, 2.76, 2.87, 2.52, 2.55, -0.12, -4.49, 60676, 13.5, 1.27, 0.0, 0.0, 0.0, -17.74, NASDAQ Capital
Inter Parfums, IPAR, 47.8, 47.8, 45.55, 45.6, -2.15, -4.5, 109096, 48.35, 33.35, 0.84, 1.84, 34.29, 4.95, NASDAQ Global
Neos Therapeutics, NEOS, 10.65, 10.75, 10.15, 10.6, -0.5, -4.5, 853089, 13.15, 4.85, 0.0, 0.0, 0.0, 3.92, NASDAQ Global
Christopher&Banks, CBK, 1.33, 1.37, 1.25, 1.27, -0.06, -4.51, 250658, 1.62, 1.04, 0.0, 0.0, 0.0, 0.0, NYSE
Enova International, ENVA, 18.95, 19.01, 17.2, 17.9, -0.85, -4.53, 580626, 19.2, 11.15, 0.0, 0.0, 19.46, 17.76, NYSE
Internet Initiative Japan ADR, IIJI, 10.77, 10.8, 10.75, 10.75, -0.51, -4.53, 965, 12.5, 7.9, 0.0, 0.0, 30.66, 18.0, NASDAQ Global
Euronav, EURN, 8.75, 8.75, 8.3, 8.4, -0.4, -4.55, 862224, 9.65, 6.9, 0.12, 1.43, 43.11, -9.19, NYSE
ChromaDex, CDXC, 4.82, 4.92, 4.49, 4.61, -0.22, -4.55, 743000, 7.24, 2.26, 0.0, 0.0, 0.0, -21.6, NASDAQ Capital
Cytori Therapeutics, CYTX, 0.44, 0.46, 0.42, 0.42, -0.02, -4.55, 952533, 2.13, 0.21, 0.0, 0.0, 0.0, 39.26, NASDAQ Capital
Lightbridge, LTBR, 2.3, 2.39, 2.06, 2.1, -0.1, -4.55, 2217668, 4.8, 0.92, 0.0, 0.0, 0.0, 72.13, NASDAQ Capital
Asterias Biotherapeutics, AST, 2.2, 2.2, 2.1, 2.1, -0.1, -4.55, 135811, 4.35, 1.95, 0.0, 0.0, 0.0, -6.67, NYSE American
Verso Cl A, VRS, 16.94, 17.09, 16.05, 16.06, -0.77, -4.58, 357821, 18.12, 3.17, 0.0, 0.0, 0.0, -8.59, NYSE
Farmers National Banc, FMNB, 15.3, 15.3, 14.5, 14.6, -0.7, -4.58, 44821, 15.95, 12.35, 0.24, 1.64, 17.38, -1.02, NASDAQ Capital
Novan, NOVN, 3.58, 3.58, 3.31, 3.33, -0.16, -4.58, 98596, 8.19, 3.22, 0.0, 0.0, 0.0, -21.09, NASDAQ Global
Parkervision, PRKR, 1.09, 1.1, 1.04, 1.04, -0.05, -4.59, 190613, 3.8, 1.01, 0.0, 0.0, 0.0, -1.89, NASDAQ Capital
Control4, CTRL, 28.6, 28.96, 26.83, 27.11, -1.3, -4.59, 1050015, 35.99, 10.83, 0.0, 0.0, 51.15, -8.9, NASDAQ Global
Ovascience, OVAS, 1.09, 1.09, 1.01, 1.04, -0.05, -4.59, 754254, 2.05, 1.01, 0.0, 0.0, 0.0, -25.71, NASDAQ Global
The9 ADR, NCTY, 0.87, 0.89, 0.81, 0.81, -0.04, -4.59, 399397, 1.68, 0.55, 0.0, 0.0, 0.0, 26.7, NASDAQ Global
Medigus ADR, MDGS, 1.51, 1.52, 1.4, 1.45, -0.07, -4.61, 44837, 10.7, 1.25, 0.0, 0.0, 0.0, 9.85, NASDAQ Capital
Concert Pharmaceuticals, CNCE, 21.19, 21.33, 20.07, 20.08, -0.97, -4.61, 244528, 30.71, 8.75, 0.0, 0.0, 5.4, -22.38, NASDAQ Global
Mesabi Trust, MSB, 25.95, 26.1, 24.3, 24.8, -1.2, -4.62, 197546, 30.92, 12.7, 4.72, 19.03, 9.9, -1.39, NYSE
Nexeo Solutions WT, NXEOW, 0.62, 0.63, 0.62, 0.62, -0.03, -4.62, 26958, 0.81, 0.33, 0.0, 0.0, 0.0, -0.61, NASDAQ Capital
Yulong Eco-Materials, YECO, 3.33, 3.4, 3.02, 3.1, -0.15, -4.62, 66261, 9.0, 0.5, 0.0, 0.0, 0.0, 14.81, NASDAQ Capital
CHF Solutions, CHFS, 3.96, 3.96, 3.7, 3.71, -0.18, -4.63, 334010, 125.6, 2.87, 0.0, 0.0, 0.0, 7.23, NASDAQ Capital
Sonic Foundry, SOFO, 2.48, 2.48, 2.35, 2.47, -0.12, -4.63, 17121, 5.35, 2.05, 0.0, 0.0, 0.0, -17.94, NASDAQ Capital
Ooma, OOMA, 10.75, 10.9, 10.2, 10.25, -0.5, -4.65, 34255, 12.75, 7.3, 0.0, 0.0, 0.0, -14.23, NYSE
Cidara Therapeutics, CDTX, 7.55, 7.6, 7.1, 7.15, -0.35, -4.67, 77681, 11.75, 5.6, 0.0, 0.0, 0.0, 5.15, NASDAQ Global
Harley-Davidson, HOG, 50.81, 51.11, 47.97, 48.46, -2.38, -4.68, 6071918, 63.4, 44.52, 1.46, 3.01, 16.26, -4.76, NYSE
Can-Fite Biopharma ADR, CANF, 2.5, 2.55, 2.37, 2.38, -0.12, -4.68, 274483, 2.75, 1.24, 0.0, 0.0, 0.0, 61.0, NYSE American
CSP, CSPI, 18.05, 18.19, 17.5, 17.5, -0.86, -4.68, 9715, 18.89, 8.25, 0.44, 2.51, 27.78, 10.67, NASDAQ Global
Materialise ADR, MTLS, 13.45, 13.5, 12.75, 12.84, -0.63, -4.68, 45752, 16.5, 7.9, 0.0, 0.0, 0.0, 1.02, NASDAQ Global
LendingClub, LC, 3.9, 3.97, 3.65, 3.66, -0.18, -4.69, 6925376, 6.79, 3.29, 0.0, 0.0, 0.0, -11.38, NYSE
Navios Maritime Holdings, NM, 1.27, 1.31, 1.22, 1.22, -0.06, -4.69, 1103457, 2.26, 0.95, 0.24, 19.67, 0.0, 1.67, NYSE
Laureate Education Cl A, LAUR, 15.17, 15.4, 13.65, 14.4, -0.71, -4.7, 1857172, 18.96, 10.46, 0.0, 0.0, 0.0, 6.19, NASDAQ Global
Southwestern Energy, SWN, 4.4, 4.43, 4.16, 4.24, -0.21, -4.72, 36463097, 9.75, 4.16, 0.0, 0.0, 6.73, -24.01, NYSE
Eagle Materials, EXP, 115.82, 115.87, 107.75, 112.05, -5.59, -4.75, 2332903, 122.49, 86.51, 0.4, 0.36, 25.7, -1.1, NYSE
Daqo New Energy ADR, DQ, 57.5, 57.98, 53.76, 54.44, -2.72, -4.76, 386752, 72.5, 18.01, 0.0, 0.0, 9.05, -8.41, NYSE
Ryerson Holding, RYI, 10.7, 10.7, 9.95, 10.0, -0.5, -4.76, 232163, 14.65, 7.65, 0.0, 0.0, 41.67, -3.85, NYSE
Big Rock Partners Acquisition Rt, BRPAR, 0.42, 0.42, 0.4, 0.4, -0.02, -4.76, 24826, 0.74, 0.29, 0.0, 0.0, 0.0, 8.11, NASDAQ Capital
Compugen, CGEN, 3.15, 3.15, 2.9, 3.0, -0.15, -4.76, 192355, 5.4, 2.25, 0.0, 0.0, 0.0, 20.0, NASDAQ Global
Flexible Solutions International, FSI, 1.66, 1.7, 1.52, 1.59, -0.08, -4.79, 49812, 2.58, 1.3, 0.0, 0.0, 4.97, -12.64, NYSE American
ConforMIS, CFMS, 1.48, 1.48, 1.37, 1.39, -0.07, -4.79, 671576, 8.61, 1.37, 0.0, 0.0, 0.0, -41.6, NASDAQ Global
Veru, VERU, 1.25, 1.25, 1.19, 1.19, -0.06, -4.8, 35341, 3.0, 0.9, 0.0, 0.0, 0.0, 4.39, NASDAQ Capital
Criteo ADR, CRTO, 24.79, 24.81, 23.55, 23.81, -1.2, -4.8, 758398, 56.0, 22.0, 0.0, 0.0, 20.55, -8.53, NASDAQ Global
Applied Genetic Technologies, AGTC, 5.2, 5.5, 4.8, 4.95, -0.25, -4.81, 143104, 8.4, 3.25, 0.0, 0.0, 0.0, 37.5, NASDAQ Global
Ascent Capital Group Series A, ASCMA, 10.02, 10.13, 9.25, 9.43, -0.48, -4.84, 73457, 17.84, 8.87, 0.0, 0.0, 0.0, -17.93, NASDAQ Global
Foundation Building Materials, FBM, 15.71, 15.96, 14.11, 14.83, -0.76, -4.87, 241540, 17.91, 11.03, 0.0, 0.0, 0.0, 0.27, NYSE
Eclipse Resources, ECR, 2.26, 2.29, 2.13, 2.14, -0.11, -4.89, 1400140, 3.1, 1.6, 0.0, 0.0, 0.0, -10.83, NYSE
Teekay, TK, 8.66, 8.66, 8.15, 8.16, -0.42, -4.9, 2417693, 11.15, 5.14, 0.22, 2.7, 0.0, -12.45, NYSE
Daxor, DXR, 4.5, 4.53, 4.42, 4.42, -0.23, -4.9, 1983, 9.2, 4.04, 0.03, 0.68, 0.0, -3.3, NYSE American
Immune Design, IMDZ, 3.6, 3.6, 3.3, 3.4, -0.18, -4.9, 612184, 13.05, 3.3, 0.0, 0.0, 0.0, -12.82, NASDAQ Global
General Moly, GMO, 0.4, 0.41, 0.37, 0.38, -0.02, -4.92, 158743, 0.72, 0.28, 0.0, 0.0, 0.0, 14.39, NYSE American
