Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg, Exchange
LM Funding America WT, LMFAW, 0.23, 0.39, 0.14, 0.28, 0.16, 133.33, 31604, 0.47, 0.02, 0.0, 0.0, 0.0, 623.51, NASDAQ Capital
ARMO Biosciences, ARMO, 28.0, 32.82, 27.0, 29.74, 12.74, 74.94, 4347502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NASDAQ Global
Solid Biosciences, SLDB, 25.5, 29.25, 22.0, 22.62, 6.62, 41.38, 3272954, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NASDAQ Global
Oasmia Pharmaceutical ADR, OASM, 1.5, 3.16, 1.32, 1.75, 0.5, 40.0, 1084580, 3.16, 0.8, 0.0, 0.0, 0.0, 98.86, NASDAQ Capital
Biostar Pharmaceuticals, BSPM, 2.6, 5.97, 2.57, 3.32, 0.87, 35.51, 17005449, 5.97, 1.18, 0.0, 0.0, 9.36, 87.57, NASDAQ Capital
Jason Industries WT, JASNW, 0.02, 0.02, 0.02, 0.02, 0.0, 32.67, 102697, 0.19, 0.01, 0.0, 0.0, 0.0, -13.48, NASDAQ Capital
Atossa Genetics, ATOS, 0.36, 0.45, 0.34, 0.42, 0.09, 29.19, 17221824, 1.85, 0.22, 0.0, 0.0, 0.0, 59.7, NASDAQ Capital
PAVmed WT, PAVMW, 0.53, 0.53, 0.53, 0.53, 0.11, 26.19, 300, 4.53, 0.35, 0.0, 0.0, 0.0, -14.52, NASDAQ Capital
Oxbridge Re Holdings WT, OXBRW, 0.1, 0.1, 0.08, 0.1, 0.02, 25.0, 16000, 0.7, 0.06, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital
Capricor Therapeutics, CAPR, 1.79, 2.29, 1.79, 2.09, 0.4, 23.67, 5989196, 4.25, 0.63, 0.0, 0.0, 0.0, 32.28, NASDAQ Capital
Hunter Maritime Acquisition WT, HUNTW, 0.4, 0.58, 0.4, 0.49, 0.09, 22.15, 13796, 1.3, 0.06, 0.0, 0.0, 0.0, 62.33, NASDAQ Capital
I-AM Capital Acquisition WT, IAMXW, 0.29, 0.29, 0.29, 0.29, 0.05, 20.71, 700, 0.35, 0.21, 0.0, 0.0, 0.0, -11.85, NASDAQ Capital
Viking Therapeutics WT, VKTXW, 3.51, 4.43, 3.51, 4.18, 0.71, 20.46, 230529, 4.43, 0.21, 0.0, 0.0, 0.0, 65.22, NASDAQ Capital
