Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg, Exchange
KapStone Paper&Packaging, KS, 34.9, 34.94, 34.26, 34.71, 8.17, 30.78, 30616213, 34.94, 19.59, 0.4, 1.15, 46.28, 52.97, NYSE
Dr Pepper Snapple Group, DPS, 126.58, 126.65, 116.91, 117.07, 21.42, 22.39, 24633638, 126.65, 83.23, 2.32, 1.98, 29.39, 20.62, NYSE
Matson, MATX, 34.14, 40.32, 34.14, 37.68, 6.48, 20.77, 1546399, 40.32, 21.63, 0.8, 2.12, 19.34, 26.27, NYSE
Kadmon Holdings, KDMN, 5.0, 5.86, 5.0, 5.83, 0.85, 17.07, 2021037, 5.86, 2.05, 0.0, 0.0, 0.0, 61.05, NYSE
Eastman Kodak WT, KODK%A, 0.57, 0.7, 0.51, 0.65, 0.06, 10.17, 16810, 3.15, 0.0, 0.0, 0.0, 0.0, 6272.55, NYSE
Tidewater WT Series A, TDW%A, 2.89, 3.07, 2.89, 3.07, 0.24, 8.48, 2547, 3.9, 1.0, 0.0, 0.0, 0.0, 28.99, NYSE
TPG Pace Energy Holdings WT, TPGE%, 1.5, 1.5, 1.43, 1.5, 0.1, 7.14, 2500, 1.75, 1.1, 0.0, 0.0, 0.0, 11.11, NYSE
Citigroup Wt 2019, C%A, 0.15, 0.17, 0.15, 0.16, 0.01, 6.67, 9815498, 0.2, 0.06, 0.0, 0.0, 0.0, 59.84, NYSE
BioAmber, BIOA, 0.45, 0.45, 0.41, 0.44, 0.02, 5.86, 689766, 4.08, 0.32, 0.0, 0.0, 0.0, 9.3, NYSE
Aquantia, AQ, 10.88, 11.75, 10.8, 11.59, 0.6, 5.46, 196455, 13.8, 9.01, 0.0, 0.0, 0.0, 2.29, NYSE
Kemet, KEM, 19.68, 21.28, 19.46, 20.8, 1.07, 5.42, 4318949, 27.35, 6.73, 0.0, 0.0, 4.01, 38.11, NYSE
SandRidge Mississippian Trust, SDT, 0.91, 0.98, 0.9, 0.96, 0.05, 5.3, 160921, 1.85, 0.73, 0.17, 17.56, 4.24, 16.39, NYSE
Enova International, ENVA, 16.9, 18.25, 16.72, 17.9, 0.9, 5.29, 722930, 18.25, 11.15, 0.0, 0.0, 19.46, 17.76, NYSE
Fibria Celulose ADR, FBR, 17.57, 18.03, 17.37, 17.43, 0.84, 5.06, 3044291, 18.03, 7.98, 0.0, 0.0, 41.69, 18.57, NYSE
Legacy Acquisition WT, LGC%, 0.41, 0.43, 0.41, 0.42, 0.02, 5.0, 62300, 0.75, 0.39, 0.0, 0.0, 0.0, 0.0, NYSE
