Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange
Snap, SNAP, 17.15, 21.22, 16.96, 20.75, 6.69, 47.58, 230956943, 29.44, 11.28, 0.0, 0.0, 0.0, 42.03, NYSE
Meridian Waste Solutions WT, MRDNW, 0.21, 0.21, 0.2, 0.2, 0.06, 44.0, 901, 0.7, 0.1, 0.0, 0.0, 0.0, 23.75, NASDAQ Capital
TMSR Holding WT, TMSRW, 0.0, 0.69, 0.0, 0.54, 0.16, 40.41, 23882, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital
Innovate Biopharmaceuticals WT, INNTW, 0.18, 0.25, 0.13, 0.24, 0.06, 33.33, 50273, 4.5, 0.11, 0.0, 0.0, 0.0, -52.0, NASDAQ Capital
RMG Networks Holding, RMGN, 0.8, 1.1, 0.8, 1.07, 0.26, 32.2, 469087, 4.42, 0.75, 0.0, 0.0, 0.0, 30.49, NASDAQ Capital
Cellectar Biosciences WT, CLRBW, 0.08, 0.14, 0.08, 0.14, 0.03, 29.9, 818, 0.45, 0.08, 0.0, 0.0, 0.0, 34.97, NASDAQ Capital
Capstone Turbine, CPST, 0.73, 0.95, 0.72, 0.93, 0.21, 28.57, 3234275, 1.35, 0.58, 0.0, 0.0, 0.0, 20.39, NASDAQ Capital
Abeona Therapeutics WT, ABEOW, 11.24, 13.65, 11.24, 13.65, 2.96, 27.69, 3834, 17.56, 1.81, 0.0, 0.0, 0.0, 17.67, NASDAQ Capital
Biostar Pharmaceuticals, BSPM, 3.52, 4.32, 3.52, 4.26, 0.9, 26.79, 2217735, 5.97, 1.18, 0.0, 0.0, 12.01, 140.68, NASDAQ Capital
Model N, MODN, 16.0, 17.5, 15.7, 17.4, 3.65, 26.55, 1737423, 17.5, 9.6, 0.0, 0.0, 0.0, 10.48, NYSE
DryShips, DRYS, 3.41, 3.78, 3.35, 3.59, 0.74, 25.96, 12168564, 4870.6, 0.98, 0.1, 2.67, 0.0, 1.7, NASDAQ Capital
Cerecor WT Cl A, CERCW, 0.28, 0.5, 0.28, 0.34, 0.07, 25.93, 14525, 0.6, 0.01, 0.0, 0.0, 0.0, 13.33, NASDAQ Capital
NeuroMetrix WT, NUROW, 0.07, 0.08, 0.07, 0.08, 0.02, 25.0, 11000, 0.56, 0.02, 0.0, 0.0, 0.0, 97.37, NASDAQ Capital
NQ Mobile ADR, NQ, 2.11, 2.28, 1.88, 2.08, 0.4, 23.81, 5807324, 4.68, 1.58, 0.0, 0.0, 0.0, -48.26, NYSE
Viking Therapeutics WT, VKTXW, 4.92, 5.45, 4.62, 5.42, 0.92, 20.55, 109973, 5.45, 0.21, 0.0, 0.0, 0.0, 114.42, NASDAQ Capital
tronc, TRNC, 22.55, 24.74, 20.66, 21.55, 3.45, 19.06, 809093, 24.74, 10.8, 0.0, 0.0, 29.93, 22.51, NASDAQ Global
Immune Pharmaceuticals, IMNP, 0.48, 0.56, 0.47, 0.55, 0.08, 17.87, 2510656, 5.02, 0.4, 0.0, 0.0, 0.0, -3.81, NASDAQ Capital
Weight Watchers International, WTW, 63.06, 76.0, 62.73, 73.97, 10.91, 17.3, 5752431, 76.0, 12.05, 0.0, 0.0, 44.03, 67.05, NYSE
Perry Ellis International, PERY, 25.24, 27.27, 25.24, 27.06, 3.88, 16.74, 496469, 27.27, 16.35, 0.0, 0.0, 16.01, 8.07, NASDAQ Global
Black Ridge Acquisition WT, BRACW, 0.35, 0.35, 0.35, 0.35, 0.05, 16.67, 100, 0.37, 0.24, 0.0, 0.0, 0.0, 6.06, NASDAQ Capital
Viking Therapeutics, VKTX, 6.0, 7.0, 6.0, 6.93, 0.96, 16.08, 2913341, 7.0, 0.88, 0.0, 0.0, 0.0, 70.69, NASDAQ Global
Iconix Brand Group, ICON, 1.2, 1.35, 1.19, 1.35, 0.18, 15.38, 1448520, 9.79, 1.1, 0.0, 0.0, 0.0, 4.65, NASDAQ Global
PROS Holdings, PRO, 28.06, 31.63, 27.96, 31.45, 4.07, 14.86, 728351, 31.63, 21.1, 0.0, 0.0, 0.0, 18.9, NYSE
Cellectar Biosciences WT Series A, CLRBZ, 0.46, 0.46, 0.46, 0.46, 0.06, 14.86, 800, 1.0, 0.39, 0.0, 0.0, 0.0, -8.0, NASDAQ Capital
Horizon Global, HZN, 8.58, 9.48, 8.41, 9.13, 1.18, 14.84, 1197927, 19.58, 7.69, 0.0, 0.0, 0.0, -34.88, NYSE
Theravance Biopharma, TBPH, 27.49, 29.62, 27.11, 28.01, 3.57, 14.61, 1035616, 43.44, 22.9, 0.0, 0.0, 0.0, 0.43, NASDAQ Global
Cavco Industries, CVCO, 159.05, 170.6, 155.95, 169.6, 21.25, 14.32, 90061, 170.6, 106.25, 0.0, 0.0, 37.77, 11.14, NASDAQ Global
Big Rock Partners Acquisition Rt, BRPAR, 0.44, 0.45, 0.43, 0.45, 0.06, 14.21, 6973, 0.74, 0.29, 0.0, 0.0, 0.0, 21.62, NASDAQ Capital
Abeona Therapeutics, ABEO, 16.2, 18.9, 16.11, 18.2, 2.25, 14.11, 2944877, 22.75, 4.55, 0.0, 0.0, 0.0, 14.83, NASDAQ Capital
CRISPR Therapeutics, CRSP, 37.76, 44.17, 37.18, 41.67, 5.11, 13.98, 2028503, 45.0, 11.63, 0.0, 0.0, 0.0, 77.47, NASDAQ Global
Corindus Vascular Robotics, CVRS, 0.95, 1.06, 0.94, 1.03, 0.13, 13.91, 853487, 2.25, 0.49, 0.0, 0.0, 0.0, 1.98, NYSE American
Carver Bancorp, CARV, 2.87, 3.09, 2.65, 2.87, 0.35, 13.89, 15538, 7.95, 2.01, 0.0, 0.0, 0.0, -1.31, NASDAQ Capital
MabVax Therapeutics Holdings, MBVX, 0.74, 0.84, 0.72, 0.84, 0.1, 13.5, 252876, 3.57, 0.43, 0.0, 0.0, 0.0, 20.0, NASDAQ Capital
Northern Dynasty Minerals, NAK, 1.1, 1.19, 1.06, 1.18, 0.14, 13.46, 4071038, 3.41, 0.81, 0.0, 0.0, 0.0, -33.33, NYSE American
National Holdings, NHLD, 3.85, 4.37, 3.85, 4.31, 0.5, 13.03, 261094, 6.26, 2.08, 0.0, 0.0, 4.31, 30.5, NASDAQ Capital
TransAtlantic Petroleum, TAT, 1.75, 2.18, 1.55, 1.59, 0.18, 12.77, 1936330, 2.18, 0.58, 0.0, 0.0, 0.0, 14.39, NYSE American
LSI Industries, LYTS, 7.69, 8.88, 7.69, 8.69, 0.97, 12.56, 741832, 10.68, 4.99, 0.2, 2.3, 0.0, 26.31, NASDAQ Global
XL Group, XL, 37.41, 42.39, 37.37, 42.0, 4.66, 12.48, 21900907, 47.27, 33.77, 0.88, 2.1, 0.0, 19.45, NYSE
Sangamo Therapeutics, SGMO, 20.4, 22.53, 19.75, 22.1, 2.45, 12.47, 3415594, 22.53, 3.55, 0.0, 0.0, 0.0, 34.76, NASDAQ Global
Simply Good Foods WT, SMPLW, 3.1, 3.62, 3.07, 3.62, 0.4, 12.42, 5095, 4.3, 1.08, 0.0, 0.0, 0.0, -6.94, NASDAQ Capital
IEC Electronics, IEC, 3.56, 4.14, 3.42, 4.13, 0.45, 12.36, 68043, 5.05, 3.35, 0.0, 0.0, 0.0, 0.36, NYSE American
Eyegate Pharmaceuticals, EYEG, 0.65, 0.74, 0.65, 0.73, 0.08, 12.29, 708610, 3.9, 0.49, 0.0, 0.0, 0.0, -31.79, NASDAQ Capital
RAIT Financial Trust, RAS, 0.43, 0.49, 0.42, 0.47, 0.05, 11.91, 577310, 3.91, 0.28, 0.0, 0.0, 0.0, 26.0, NYSE
Yatra Online, YTRA, 7.15, 8.19, 7.15, 7.86, 0.83, 11.81, 443093, 12.85, 6.44, 0.0, 0.0, 0.0, 5.08, NASDAQ Capital
Xplore Technologies, XPLR, 2.85, 3.3, 2.81, 3.14, 0.33, 11.74, 95790, 4.2, 1.54, 0.0, 0.0, 78.5, 10.56, NASDAQ Capital
Manitex International, MNTX, 10.46, 11.7, 10.01, 11.68, 1.22, 11.66, 216713, 11.7, 6.21, 0.0, 0.0, 0.0, 21.67, NASDAQ Capital
Blue Bird, BLBD, 18.15, 22.5, 18.15, 22.15, 2.3, 11.59, 178153, 22.5, 15.66, 0.0, 0.0, 38.96, 11.31, NASDAQ Global
