Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
Cytori Therapeutics WT, CYTXW, 0.01, 0.01, 0.01, 0.01, 0.01, 247.83, 28800, 0.07, 0.0, 0.0, 0.0, 0.0, -27.27, NASDAQ Capital,2018-08-15,19:48:11
Oncobiologics WT Series A, ONSIW, 0.05, 0.05, 0.02, 0.04, 0.03, 221.74, 12024, 0.25, 0.01, 0.0, 0.0, 0.0, 41.4, NASDAQ Capital,2018-08-15,19:48:11
Jensyn Acquisition Rt, JSYNR, 0.15, 0.42, 0.15, 0.42, 0.27, 171.49, 14725, 0.55, 0.11, 0.0, 0.0, 0.0, 12.0, NASDAQ Capital,2018-08-15,19:48:11
Pain Therapeutics, PTIE, 1.3, 2.34, 1.21, 1.97, 0.86, 77.48, 18817031, 12.8, 1.02, 0.0, 0.0, 0.0, -50.75, NASDAQ Capital,2018-08-15,19:48:11
Sigma Labs WT, SGLBW, 0.35, 0.35, 0.35, 0.35, 0.14, 66.3, 588, 0.9, 0.11, 0.0, 0.0, 0.0, -27.1, NASDAQ Capital,2018-08-15,19:48:11
Jensyn Acquisition WT, JSYNW, 0.28, 0.3, 0.24, 0.29, 0.11, 60.56, 20400, 0.45, 0.05, 0.0, 0.0, 0.0, 28.44, NASDAQ Capital,2018-08-15,19:48:11
LM Funding America WT, LMFAW, 0.05, 0.05, 0.05, 0.05, 0.02, 45.08, 100, 0.4, 0.02, 0.0, 0.0, 0.0, 32.04, NASDAQ Capital,2018-08-15,19:48:11
GWG Holdings, GWGH, 8.2, 10.37, 8.2, 10.09, 2.58, 34.26, 75692, 10.85, 7.1, 0.0, 0.0, 0.0, 21.27, NASDAQ Capital,2018-08-15,19:48:11
Canopy Growth, CGC, 32.62, 33.0, 29.05, 32.11, 7.49, 30.42, 35369944, 36.55, 6.64, 0.0, 0.0, 0.0, 35.74, NYSE,2018-08-15,19:48:11
Citigroup Wt 2019, C%A, 0.01, 0.01, 0.01, 0.01, 0.0, 25.0, 26954, 0.17, 0.01, 0.0, 0.0, 0.0, -90.01, NYSE,2018-08-15,19:48:11
Citius Pharmaceuticals, CTXR, 1.5, 1.68, 1.36, 1.66, 0.33, 24.81, 381329, 5.49, 1.12, 0.0, 0.0, 0.0, -56.32, NASDAQ Capital,2018-08-15,19:48:11
Greenland Acquisition WT, GLACW, 0.2, 0.23, 0.2, 0.23, 0.04, 21.05, 1100, 0.23, 0.18, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-15,19:48:11
Reading International Cl B, RDIB, 29.87, 32.0, 29.86, 32.0, 5.45, 20.53, 569, 32.0, 20.0, 0.0, 0.0, 43.24, 39.13, NASDAQ Capital,2018-08-15,19:48:11
Tilray, TLRY, 26.78, 30.0, 26.11, 29.1, 4.85, 20.0, 6130829, 34.1, 20.1, 0.0, 0.0, 0.0, 0.0, NASDAQ Global,2018-08-15,19:48:11
Boxlight Cl A, BOXL, 4.02, 5.44, 4.01, 4.96, 0.81, 19.52, 742635, 17.4, 3.0, 0.0, 0.0, 0.0, -14.31, NASDAQ Capital,2018-08-15,19:48:11
Arsanis, ASNS, 1.87, 2.22, 1.71, 2.21, 0.35, 18.82, 633338, 28.69, 1.71, 0.0, 0.0, 0.0, -82.68, NASDAQ Global,2018-08-15,19:48:11
Mogo Finance Technology, MOGO, 3.6, 3.83, 3.54, 3.79, 0.59, 18.44, 17865, 6.85, 2.21, 0.0, 0.0, 0.0, -21.86, NASDAQ Capital,2018-08-15,19:48:11
Aevi Genomic Medicine, GNMX, 1.0, 1.12, 0.97, 1.12, 0.16, 16.67, 5476014, 2.65, 0.83, 0.0, 0.0, 0.0, -6.67, NASDAQ Global,2018-08-15,19:48:11
Atlantic American, AAME, 2.85, 2.85, 2.8, 2.8, 0.4, 16.67, 1102, 4.0, 2.2, 0.02, 0.71, 56.0, -17.65, NASDAQ Global,2018-08-15,19:48:11
Orchids Paper Products, TIS, 2.0, 2.83, 2.0, 2.66, 0.38, 16.67, 2218644, 15.74, 0.7, 1.4, 52.63, 44.33, -79.22, NYSE American,2018-08-15,19:48:11
Acme United, ACU, 20.89, 22.72, 19.56, 22.72, 3.17, 16.21, 6020, 28.01, 18.51, 0.44, 1.94, 22.5, -2.91, NYSE American,2018-08-15,19:48:11
China Rapid Finance ADR, XRF, 1.98, 2.26, 1.88, 2.16, 0.3, 16.13, 552104, 12.86, 1.6, 0.0, 0.0, 0.0, -62.24, NYSE,2018-08-15,19:48:11
KMG Chemicals, KMG, 76.83, 78.54, 76.45, 76.97, 10.13, 15.16, 1743601, 79.35, 45.81, 0.12, 0.16, 22.25, 16.48, NYSE,2018-08-15,19:48:11
Sigma Designs, SIGM, 0.3, 0.3, 0.2, 0.23, 0.03, 15.0, 6243871, 7.0, 0.2, 0.0, 0.0, 0.0, -96.69, NASDAQ Global,2018-08-15,19:48:11
National Security Group, NSEC, 15.5, 15.5, 15.5, 15.5, 1.98, 14.64, 325, 18.17, 11.53, 0.2, 1.29, 37.33, -5.2, NASDAQ Global,2018-08-15,19:48:11
NF Energy Saving, NFEC, 3.79, 4.8, 3.65, 4.52, 0.57, 14.43, 331958, 7.19, 0.76, 0.0, 0.0, 0.0, 365.98, NASDAQ Capital,2018-08-15,19:48:11
I-AM Capital Acquisition WT, IAMXW, 0.39, 0.4, 0.39, 0.4, 0.05, 14.29, 240610, 0.7, 0.2, 0.0, 0.0, 0.0, 21.21, NASDAQ Capital,2018-08-15,19:48:11
Tonix Pharmaceuticals Holding, TNXP, 1.03, 1.48, 1.0, 1.16, 0.14, 13.73, 3058031, 5.11, 0.89, 0.0, 0.0, 0.0, -66.38, NASDAQ Global,2018-08-15,19:48:11
Cronos Group, CRON, 6.08, 6.55, 5.88, 6.38, 0.73, 12.92, 7487593, 11.9, 1.5, 0.0, 0.0, 733.33, -17.46, NASDAQ Global,2018-08-15,19:48:11
LM Funding America, LMFA, 0.64, 0.78, 0.42, 0.43, 0.05, 12.11, 5375185, 6.65, 0.35, 0.0, 0.0, 0.0, -72.47, NASDAQ Capital,2018-08-15,19:48:11
PAVmed WT Z, PAVMZ, 0.59, 0.59, 0.51, 0.56, 0.06, 11.8, 5290, 1.3, 0.23, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-15,19:48:11
Appliance Recycling Centers of America, ARCI, 0.63, 0.73, 0.61, 0.68, 0.07, 11.4, 252356, 1.75, 0.52, 0.0, 0.0, 1.28, -34.62, NASDAQ Capital,2018-08-15,19:48:11
LiqTech International, LIQT, 0.82, 0.94, 0.78, 0.91, 0.09, 11.23, 1268573, 0.94, 0.26, 0.0, 0.0, 0.0, 60.52, NYSE American,2018-08-15,19:48:11
American Midstream Partners, AMID, 5.85, 6.5, 5.8, 6.45, 0.65, 11.21, 1503030, 15.25, 5.3, 0.41, 6.39, 0.0, -51.69, NYSE,2018-08-15,19:48:11
Translate Bio, TBIO, 10.76, 12.17, 10.63, 11.73, 1.18, 11.18, 40715, 16.6, 9.21, 0.0, 0.0, 0.0, 0.0, NASDAQ Global,2018-08-15,19:48:11
Cellectar Biosciences WT Series A, CLRBZ, 0.08, 0.1, 0.05, 0.1, 0.01, 11.0, 70857, 0.85, 0.05, 0.0, 0.0, 0.0, -80.02, NASDAQ Capital,2018-08-15,19:48:11
scPharmaceuticals, SCPH, 4.23, 5.25, 4.1, 4.68, 0.45, 10.77, 241163, 18.17, 4.1, 0.0, 0.0, 0.0, -61.29, NASDAQ Global,2018-08-15,19:48:11
PetIQ Cl A, PETQ, 33.81, 36.27, 30.79, 31.25, 2.97, 10.5, 7048990, 36.27, 17.03, 0.0, 0.0, 0.0, 43.09, NASDAQ Global,2018-08-15,19:48:11
Assertio Therapeutics, ASRT, 7.3, 8.08, 6.97, 8.04, 0.74, 10.14, 691103, 9.48, 4.31, 0.0, 0.0, 0.0, -0.12, NASDAQ Global,2018-08-15,19:48:11
Estre Ambiental WT, ESTRW, 0.46, 0.5, 0.46, 0.5, 0.05, 10.02, 200, 1.03, 0.33, 0.0, 0.0, 0.0, -33.99, NASDAQ Global,2018-08-15,19:48:11
DAVIDsTEA, DTEA, 2.52, 2.75, 2.5, 2.75, 0.25, 10.0, 41922, 5.55, 2.25, 0.0, 0.0, 0.0, -29.49, NASDAQ Global,2018-08-15,19:48:11
Check-Cap WT Series C, CHEKZ, 0.53, 0.55, 0.53, 0.55, 0.05, 10.0, 20000, 1.25, 0.36, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-15,19:48:11
Ability, ABIL, 4.75, 5.33, 4.65, 5.0, 0.45, 9.89, 1409518, 14.55, 2.14, 0.0, 0.0, 0.0, 13.64, NASDAQ Capital,2018-08-15,19:48:11
Quest Resource Holding, QRHC, 1.88, 1.95, 1.79, 1.94, 0.17, 9.6, 121104, 2.91, 1.03, 0.0, 0.0, 0.0, -15.65, NASDAQ Capital,2018-08-15,19:48:11
Taitron Components Cl A, TAIT, 2.3, 2.61, 2.21, 2.3, 0.2, 9.52, 348524, 2.89, 1.22, 0.1, 4.35, 17.69, 36.9, NASDAQ Capital,2018-08-15,19:48:11
Perspecta, PRSP, 23.0, 23.95, 22.83, 23.7, 2.05, 9.47, 5024222, 27.68, 19.84, 0.0, 0.0, 0.0, 0.0, NYSE,2018-08-15,19:48:11
Oasmia Pharmaceutical ADR, OASM, 1.7, 1.87, 1.7, 1.85, 0.16, 9.46, 11523, 3.16, 0.8, 0.0, 0.0, 0.0, 110.23, NASDAQ Capital,2018-08-15,19:48:11
Kazia Therapeutics ADR, KZIA, 3.52, 3.85, 3.36, 3.85, 0.32, 9.07, 7185, 6.68, 1.63, 0.0, 0.0, 0.0, 21.07, NASDAQ Capital,2018-08-15,19:48:11
Superconductor Technologies, SCON, 2.08, 2.44, 2.01, 2.3, 0.19, 9.0, 125384, 14.9, 1.47, 0.0, 0.0, 0.0, -78.9, NASDAQ Capital,2018-08-15,19:48:11
Xinyuan Real Estate ADR, XIN, 3.77, 4.15, 3.77, 4.01, 0.33, 8.97, 627261, 8.29, 3.63, 0.4, 9.98, 5.97, -41.12, NYSE,2018-08-15,19:48:11
Iconix Brand Group, ICON, 0.42, 0.47, 0.41, 0.46, 0.04, 8.9, 2542372, 5.99, 0.38, 0.0, 0.0, 0.0, -64.54, NASDAQ Global,2018-08-15,19:48:11
Global Eagle Entertainment, ENT, 2.37, 2.65, 2.2, 2.61, 0.21, 8.75, 575768, 3.58, 0.87, 0.0, 0.0, 0.0, 13.97, NASDAQ Capital,2018-08-15,19:48:11
InnerWorkings, INWK, 6.77, 7.6, 6.76, 7.19, 0.56, 8.45, 1528131, 12.03, 5.9, 0.0, 0.0, 55.31, -28.32, NASDAQ Global,2018-08-15,19:48:11
PolarityTE, COOL, 23.9, 26.98, 23.43, 25.85, 1.99, 8.34, 729795, 41.22, 15.21, 0.0, 0.0, 0.0, 11.37, NASDAQ Capital,2018-08-15,19:48:11
Cambium Learning Group, ABCD, 11.97, 13.0, 11.95, 12.91, 0.99, 8.31, 355351, 13.77, 5.0, 0.0, 0.0, 14.19, 127.29, NASDAQ Capital,2018-08-15,19:48:11
Nxt-ID, NXTD, 1.62, 1.7, 1.5, 1.7, 0.13, 8.28, 544059, 8.59, 1.01, 0.0, 0.0, 0.0, -51.43, NASDAQ Capital,2018-08-15,19:48:11
MakeMyTrip, MMYT, 28.95, 31.63, 28.5, 31.5, 2.4, 8.25, 1316987, 41.7, 22.4, 0.0, 0.0, 0.0, 5.53, NASDAQ Global,2018-08-15,19:48:11
Nortech Systems, NSYS, 4.5, 4.68, 3.76, 3.94, 0.3, 8.12, 259605, 8.08, 2.77, 0.0, 0.0, 0.0, 2.07, NASDAQ Capital,2018-08-15,19:48:11
Hostess Brands WT, TWNKW, 1.37, 1.47, 1.37, 1.47, 0.11, 8.09, 3537, 2.5, 1.12, 0.0, 0.0, 0.0, -36.91, NASDAQ Capital,2018-08-15,19:48:11
ENDRA Life Sciences WT, NDRAW, 0.54, 0.58, 0.52, 0.54, 0.04, 8.02, 12084, 2.0, 0.23, 0.0, 0.0, 0.0, -56.79, NASDAQ Capital,2018-08-15,19:48:11
ALJ Regional Holdings, ALJJ, 2.0, 2.19, 2.0, 2.16, 0.16, 8.0, 78117, 3.75, 1.42, 0.0, 0.0, 15.43, -31.43, NASDAQ Global,2018-08-15,19:48:11
Biolase, BIOL, 1.5, 1.65, 1.5, 1.62, 0.12, 8.0, 68018, 3.95, 1.14, 0.0, 0.0, 0.0, -24.02, NASDAQ Capital,2018-08-15,19:48:11
Wilhelmina International, WHLM, 5.6, 5.6, 5.55, 5.55, 0.41, 7.98, 1263, 7.54, 5.14, 0.0, 0.0, 38.33, -14.22, NASDAQ Capital,2018-08-15,19:48:11
