Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
BioTime WT, BTX%, 0.02, 0.03, 0.02, 0.03, 0.01, 78.52, 373, 0.28, 0.01, 0.0, 0.0, 0.0, -78.3, NYSE American,2018-08-23,21:29:40
Cytori Therapeutics WT, CYTXZ, 0.01, 0.01, 0.01, 0.01, 0.0, 71.88, 50900, 0.18, 0.0, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-23,21:29:40
Eastman Kodak Co. WT 125%, KODK%, 0.03, 0.04, 0.01, 0.03, 0.01, 66.67, 6300, 2.95, 0.01, 0.0, 0.0, 0.0, 466.04, NYSE,2018-08-23,21:29:40
Soleno Therapeutics WT, SLNOW, 0.34, 0.34, 0.34, 0.34, 0.12, 54.55, 3217, 1.8, 0.05, 0.0, 0.0, 0.0, 134.48, NASDAQ Capital,2018-08-23,21:29:40
Obalon Therapeutics, OBLN, 2.0, 2.86, 1.97, 2.66, 0.91, 52.0, 2724954, 10.4, 1.46, 0.0, 0.0, 0.0, -59.76, NASDAQ Global,2018-08-23,21:29:40
Leju Holdings ADR, LEJU, 1.5, 1.79, 1.5, 1.79, 0.51, 39.84, 5974914, 2.23, 0.96, 0.0, 0.0, 0.0, 24.31, NYSE,2018-08-23,21:29:40
Citigroup Wt 2019, C%A, 0.01, 0.01, 0.01, 0.01, 0.0, 28.75, 70250, 0.17, 0.01, 0.0, 0.0, 0.0, -89.71, NYSE,2018-08-23,21:29:40
Ditech Holding WT B, DHCP%B, 0.1, 0.13, 0.1, 0.13, 0.03, 25.0, 2059, 0.92, 0.09, 0.0, 0.0, 0.0, 0.0, NYSE,2018-08-23,21:29:40
TMSR Holding, TMSR, 3.97, 6.4, 3.94, 4.81, 0.81, 20.25, 67811, 10.32, 3.5, 0.0, 0.0, 137.43, -3.41, NASDAQ Capital,2018-08-23,21:29:40
Lantronix, LTRX, 4.36, 5.15, 4.35, 5.05, 0.83, 19.67, 1064524, 5.15, 1.78, 0.0, 0.0, 168.33, 150.0, NASDAQ Capital,2018-08-23,21:29:40
BioPharmX, BPMX, 0.14, 0.16, 0.14, 0.16, 0.03, 19.23, 7167796, 0.39, 0.1, 0.0, 0.0, 0.0, 40.65, NYSE American,2018-08-23,21:29:40
B Communications, BCOM, 9.25, 9.87, 9.09, 9.5, 1.5, 18.75, 17261, 20.49, 6.27, 12.3, 129.45, 15.15, -48.37, NASDAQ Global,2018-08-23,21:29:40
Biocept, BIOC, 2.97, 3.6, 2.97, 3.55, 0.55, 18.33, 502869, 44.1, 2.86, 0.0, 0.0, 0.0, -82.95, NASDAQ Capital,2018-08-23,21:29:40
Sonoma Pharmaceuticals WT, SNOAW, 0.07, 0.07, 0.07, 0.07, 0.01, 17.25, 2383, 0.55, 0.02, 0.0, 0.0, 0.0, -82.93, NASDAQ Capital,2018-08-23,21:29:40
Williams-Sonoma, WSM, 67.79, 73.22, 67.74, 72.94, 10.33, 16.5, 16007062, 73.22, 43.76, 1.72, 2.36, 23.3, 41.08, NYSE,2018-08-23,21:29:40
Cango ADR, CANG, 8.32, 9.57, 8.28, 9.55, 1.34, 16.34, 37766, 13.9, 8.2, 0.0, 0.0, 0.0, 0.0, NYSE,2018-08-23,21:29:40
Aurora Mobile ADR, JG, 7.22, 8.55, 7.0, 8.14, 1.12, 15.95, 540787, 9.8, 5.0, 0.0, 0.0, 0.0, 0.0, NASDAQ Global,2018-08-23,21:29:40
HF Foods Group, HFFG, 13.0, 15.44, 13.0, 15.2, 2.05, 15.59, 164543, 15.44, 9.75, 0.0, 0.0, 0.0, 54.16, NASDAQ Capital,2018-08-23,21:29:40
LexinFintech Holdings ADR, LX, 12.74, 14.23, 12.4, 12.84, 1.68, 15.05, 4833144, 20.0, 9.55, 0.0, 0.0, 70.94, -7.63, NASDAQ Global,2018-08-23,21:29:40
Reed's, REED, 2.45, 2.85, 2.45, 2.7, 0.35, 14.89, 228762, 3.1, 1.3, 0.0, 0.0, 0.0, 74.19, NYSE American,2018-08-23,21:29:40
Seven Stars Cloud Group, SSC, 3.5, 4.05, 3.46, 3.9, 0.49, 14.37, 5966278, 7.0, 1.31, 0.0, 0.0, 0.0, -15.4, NASDAQ Capital,2018-08-23,21:29:40
Raven Industries, RAVN, 41.5, 47.35, 41.33, 46.85, 5.8, 14.13, 504774, 47.35, 26.7, 0.52, 1.11, 30.23, 36.39, NASDAQ Global,2018-08-23,21:29:40
CHF Solutions, CHFS, 1.11, 1.33, 1.09, 1.25, 0.15, 13.73, 1130459, 24.45, 0.93, 0.0, 0.0, 0.0, -63.84, NASDAQ Capital,2018-08-23,21:29:40
Eastside Distilling WT, EASTW, 1.01, 1.94, 1.01, 1.94, 0.23, 13.45, 9866, 8.5, 0.33, 0.0, 0.0, 0.0, 198.46, NASDAQ Capital,2018-08-23,21:29:40
SenesTech, SNES, 0.84, 1.02, 0.84, 0.92, 0.11, 13.25, 1494406, 3.87, 0.3, 0.0, 0.0, 0.0, 27.83, NASDAQ Capital,2018-08-23,21:29:40
SELLAS Life Sciences Group, SLS, 0.92, 1.18, 0.92, 1.03, 0.12, 13.14, 2259482, 13.46, 0.8, 0.0, 0.0, 0.0, -86.9, NASDAQ Capital,2018-08-23,21:29:40
Educational Development, EDUC, 12.2, 13.65, 12.0, 13.35, 1.43, 11.95, 51288, 13.96, 4.63, 0.4, 3.0, 9.47, 40.9, NASDAQ Global,2018-08-23,21:29:40
ImmunoCellular Therapeutics WT, IMUC%, 0.03, 0.04, 0.03, 0.04, 0.0, 11.88, 4220, 0.29, 0.01, 0.0, 0.0, 0.0, -3.5, NYSE American,2018-08-23,21:29:40
IZEA Worldwide, IZEA, 1.38, 1.55, 1.35, 1.53, 0.16, 11.68, 260027, 7.85, 0.8, 0.0, 0.0, 0.0, -66.15, NASDAQ Capital,2018-08-23,21:29:40
Blink Charging WT, BLNKW, 1.1, 1.24, 1.1, 1.2, 0.12, 11.34, 6838, 4.1, 0.18, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-23,21:29:40
Aileron Therapeutics, ALRN, 2.12, 2.36, 2.12, 2.33, 0.23, 10.95, 95696, 15.48, 1.98, 0.0, 0.0, 0.0, -77.89, NASDAQ Global,2018-08-23,21:29:40
Atlanticus Holdings, ATLC, 2.4, 3.3, 2.27, 2.58, 0.25, 10.73, 425890, 3.83, 1.52, 0.0, 0.0, 0.0, 7.5, NASDAQ Global,2018-08-23,21:29:40
Internet Gold-Golden Lines, IGLD, 2.83, 2.92, 2.73, 2.9, 0.28, 10.69, 31112, 10.91, 2.17, 0.0, 0.0, 0.0, -65.68, NASDAQ Global,2018-08-23,21:29:40
Sportsman's Warehouse Holdings, SPWH, 5.61, 6.19, 5.6, 5.97, 0.56, 10.35, 2778056, 6.99, 3.66, 0.0, 0.0, 15.71, -9.68, NASDAQ Global,2018-08-23,21:29:40
Wheeler Real Estate Investment Trust, WHLR, 5.02, 5.55, 5.0, 5.55, 0.51, 10.12, 68700, 12.3, 3.25, 0.0, 0.0, 0.0, -44.39, NASDAQ Capital,2018-08-23,21:29:40
DHI Group, DHX, 2.2, 2.35, 2.2, 2.2, 0.2, 10.0, 935419, 3.25, 1.25, 0.0, 0.0, 6.75, 15.79, NYSE,2018-08-23,21:29:40
Check-Cap WT Series C, CHEKZ, 0.55, 0.55, 0.55, 0.55, 0.05, 10.0, 7578, 1.25, 0.36, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-23,21:29:40
Viking Therapeutics WT, VKTXW, 8.93, 10.05, 8.93, 9.83, 0.89, 9.96, 66100, 12.72, 0.34, 0.0, 0.0, 0.0, 288.54, NASDAQ Capital,2018-08-23,21:29:40
Celgene Rt, CELGZ, 1.45, 1.56, 1.45, 1.56, 0.14, 9.86, 51312, 2.65, 0.11, 0.0, 0.0, 0.0, 60.82, NASDAQ Global,2018-08-23,21:29:40
Pacific Ethanol, PEIX, 1.8, 1.95, 1.77, 1.95, 0.18, 9.86, 841076, 6.05, 1.7, 0.0, 0.0, 0.0, -57.14, NASDAQ Capital,2018-08-23,21:29:40
Eidos Therapeutics, EIDX, 18.77, 21.29, 18.77, 20.64, 1.85, 9.85, 172161, 24.75, 14.11, 0.0, 0.0, 0.0, 0.0, NASDAQ Global,2018-08-23,21:29:40
Naked Brand Group, NAKD, 4.4, 4.68, 4.1, 4.5, 0.4, 9.76, 205214, 11.36, 1.11, 0.0, 0.0, 0.0, 210.34, NASDAQ Capital,2018-08-23,21:29:40
Good Times Restaurants, GTIM, 4.8, 5.25, 4.7, 5.15, 0.45, 9.57, 105389, 5.25, 2.25, 0.0, 0.0, 0.0, 94.34, NASDAQ Capital,2018-08-23,21:29:40
Moxian, MOXC, 1.58, 1.64, 1.4, 1.56, 0.13, 9.24, 32338, 4.0, 1.07, 0.0, 0.0, 0.0, -59.48, NASDAQ Capital,2018-08-23,21:29:40
CBAK Energy Technology, CBAK, 0.61, 0.67, 0.6, 0.66, 0.06, 9.09, 27559, 2.35, 0.49, 0.0, 0.0, 0.0, -55.25, NASDAQ Global,2018-08-23,21:29:40
Viking Therapeutics, VKTX, 10.5, 11.8, 10.41, 11.4, 0.95, 9.09, 5408467, 13.43, 1.02, 0.0, 0.0, 0.0, 180.79, NASDAQ Global,2018-08-23,21:29:40
Immuron WT, IMRNW, 3.6, 3.6, 3.6, 3.6, 0.3, 9.09, 3000, 9.04, 0.64, 0.0, 0.0, 0.0, 295.6, NASDAQ Capital,2018-08-23,21:29:40
Lianluo Smart, LLIT, 1.58, 1.74, 1.56, 1.72, 0.14, 8.86, 1128, 3.69, 1.21, 0.0, 0.0, 0.0, -1.91, NASDAQ Capital,2018-08-23,21:29:40
Quantum, QTM, 2.17, 2.38, 2.17, 2.35, 0.19, 8.8, 443001, 6.56, 1.58, 0.0, 0.0, 0.0, -58.26, NYSE,2018-08-23,21:29:40
Nicholas Financial, NICK, 11.0, 11.9, 11.0, 11.88, 0.94, 8.61, 46415, 11.9, 7.59, 0.48, 4.04, 0.0, 35.03, NASDAQ Global,2018-08-23,21:29:40
Auris Medical Holding, EARS, 0.27, 0.3, 0.27, 0.29, 0.02, 8.58, 1469892, 9.5, 0.23, 0.0, 0.0, 0.0, -95.09, NASDAQ Capital,2018-08-23,21:29:40
Boston Omaha, BOMN, 20.61, 22.5, 20.61, 22.42, 1.77, 8.57, 73467, 35.49, 14.0, 0.0, 0.0, 0.0, -30.78, NASDAQ Capital,2018-08-23,21:29:40
Bloom Energy, BE, 27.21, 29.5, 27.19, 29.28, 2.28, 8.44, 1313169, 29.88, 18.5, 0.0, 0.0, 0.0, 0.0, NYSE,2018-08-23,21:29:40
Research Frontiers, REFR, 1.09, 1.24, 1.08, 1.18, 0.09, 8.26, 274126, 1.46, 0.59, 0.0, 0.0, 0.0, 13.46, NASDAQ Capital,2018-08-23,21:29:40
Acacia Communications, ACIA, 39.45, 41.93, 39.05, 41.35, 3.12, 8.16, 1655904, 50.1, 24.72, 0.0, 0.0, 0.0, 14.13, NASDAQ Global,2018-08-23,21:29:40
Bioblast Pharma, ORPN, 1.17, 1.34, 1.1, 1.21, 0.09, 8.04, 168683, 5.99, 1.03, 0.0, 0.0, 0.0, -47.07, NASDAQ Capital,2018-08-23,21:29:40
Oncobiologics, ONS, 0.86, 0.9, 0.82, 0.89, 0.07, 8.0, 23611, 2.3, 0.78, 0.0, 0.0, 0.0, -31.88, NASDAQ Capital,2018-08-23,21:29:40
Oragenics, OGEN, 0.45, 0.46, 0.42, 0.46, 0.03, 7.95, 532973, 6.8, 0.38, 0.0, 0.0, 0.0, -80.43, NYSE American,2018-08-23,21:29:40
QuinStreet, QNST, 14.55, 15.82, 14.45, 15.8, 1.15, 7.85, 1912270, 15.82, 4.63, 0.0, 0.0, 50.97, 88.54, NASDAQ Global,2018-08-23,21:29:40
I-AM Capital Acquisition WT, IAMXW, 0.45, 0.45, 0.45, 0.45, 0.03, 7.84, 100, 0.7, 0.2, 0.0, 0.0, 0.0, 36.27, NASDAQ Capital,2018-08-23,21:29:40
QAD Cl B, QADB, 42.75, 46.0, 42.75, 45.1, 3.11, 7.41, 5526, 46.0, 21.58, 0.24, 0.53, 0.0, 46.0, NASDAQ Global,2018-08-23,21:29:40
Malibu Boats Cl A, MBUU, 44.18, 46.53, 43.07, 45.2, 3.07, 7.29, 255212, 46.53, 25.31, 0.0, 0.0, 35.02, 52.03, NASDAQ Global,2018-08-23,21:29:40
Baytex Energy, BTE, 3.08, 3.25, 3.02, 3.24, 0.22, 7.28, 3604988, 4.85, 2.3, 0.91, 28.1, 0.0, 8.0, NYSE,2018-08-23,21:29:40
