Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
ImmunoCellular Therapeutics WT, IMUC%, 0.02, 0.03, 0.02, 0.03, 0.02, 137.93, 2100, 0.29, 0.01, 0.0, 0.0, 0.0, -13.75, NYSE American,2018-08-22,21:13:27
Cerecor WT Cl A, CERCW, 0.22, 0.55, 0.22, 0.4, 0.18, 81.82, 87901, 1.25, 0.02, 0.0, 0.0, 0.0, 33.33, NASDAQ Capital,2018-08-22,21:13:27
Cytori Therapeutics WT, CYTXZ, 0.01, 0.01, 0.0, 0.0, 0.0, 60.0, 466620, 0.18, 0.0, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-22,21:13:27
Yulong Eco-Materials, YECO, 2.2, 2.71, 1.76, 2.07, 0.69, 50.0, 1068661, 9.0, 0.5, 0.0, 0.0, 0.0, -23.33, NASDAQ Capital,2018-08-22,21:13:27
Cytori Therapeutics, CYTX, 0.53, 0.75, 0.51, 0.69, 0.19, 39.25, 8703610, 8.7, 0.31, 0.0, 0.0, 0.0, -77.11, NASDAQ Capital,2018-08-22,21:13:27
EXACT Sciences, EXAS, 60.05, 65.79, 59.5, 65.32, 15.27, 30.51, 11791505, 71.6, 37.36, 0.0, 0.0, 0.0, 24.32, NASDAQ Capital,2018-08-22,21:13:27
Amedica, AMDA, 0.38, 0.55, 0.35, 0.48, 0.11, 29.14, 2998848, 6.93, 0.33, 0.0, 0.0, 0.0, -85.17, NASDAQ Capital,2018-08-22,21:13:27
Newater Technology, NEWA, 11.7, 13.25, 9.5, 11.83, 2.57, 27.75, 6792598, 29.69, 7.73, 0.0, 0.0, 49.35, 25.99, NASDAQ Capital,2018-08-22,21:13:27
KBL Merger IV Rt, KBLMR, 0.4, 0.4, 0.39, 0.39, 0.08, 25.81, 500, 0.56, 0.25, 0.0, 0.0, 0.0, 34.48, NASDAQ Capital,2018-08-22,21:13:27
Puxin ADR, NEW, 13.05, 16.15, 13.05, 15.9, 2.9, 22.31, 617193, 35.0, 12.64, 0.0, 0.0, 0.0, 0.0, NYSE,2018-08-22,21:13:27
Adamis Pharmaceuticals, ADMP, 2.25, 2.75, 2.25, 2.75, 0.5, 22.22, 1576399, 5.85, 2.2, 0.0, 0.0, 0.0, -37.5, NASDAQ Capital,2018-08-22,21:13:27
Nxt-ID WT, NXTDW, 0.16, 0.2, 0.16, 0.19, 0.03, 21.55, 6900, 3.42, 0.08, 0.0, 0.0, 0.0, -70.96, NASDAQ Capital,2018-08-22,21:13:27
MYnd Analytics, MYND, 1.36, 2.06, 1.35, 1.58, 0.28, 21.54, 2617086, 5.05, 1.15, 0.0, 0.0, 0.0, -53.53, NASDAQ Capital,2018-08-22,21:13:27
KBL Merger IV WT, KBLMW, 0.3, 0.3, 0.3, 0.3, 0.05, 20.0, 100, 0.4, 0.13, 0.0, 0.0, 0.0, 52.28, NASDAQ Capital,2018-08-22,21:13:27
Stellar Acquisition III WT, STLRW, 0.24, 0.24, 0.24, 0.24, 0.04, 20.0, 100, 0.93, 0.12, 0.0, 0.0, 0.0, -22.61, NASDAQ Capital,2018-08-22,21:13:27
Sigma Labs WT, SGLBW, 0.32, 0.42, 0.32, 0.42, 0.07, 18.86, 6600, 0.88, 0.11, 0.0, 0.0, 0.0, -13.33, NASDAQ Capital,2018-08-22,21:13:27
SAExploration Holdings, SAEX, 0.5, 0.66, 0.5, 0.59, 0.08, 16.79, 1067782, 3.69, 0.45, 0.0, 0.0, 0.0, -73.19, NASDAQ Capital,2018-08-22,21:13:27
Cellectar Biosciences WT Series A, CLRBZ, 0.07, 0.07, 0.07, 0.07, 0.01, 16.67, 7500, 0.85, 0.05, 0.0, 0.0, 0.0, -86.0, NASDAQ Capital,2018-08-22,21:13:27
Greenpro Capital, GRNQ, 5.9, 6.5, 5.9, 6.12, 0.87, 16.57, 7551, 23.0, 4.5, 0.0, 0.0, 0.0, 2.0, NASDAQ Capital,2018-08-22,21:13:27
Atlanticus Holdings, ATLC, 1.96, 2.56, 1.75, 2.33, 0.33, 16.5, 127572, 3.83, 1.52, 0.0, 0.0, 0.0, -2.92, NASDAQ Global,2018-08-22,21:13:27
Trident Acquisitions WT, TDACW, 0.35, 0.35, 0.35, 0.35, 0.05, 16.17, 2000, 0.37, 0.28, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-22,21:13:27
CareDx, CDNA, 17.52, 20.26, 17.45, 20.18, 2.73, 15.64, 1385311, 20.26, 1.94, 0.0, 0.0, 0.0, 174.93, NASDAQ Global,2018-08-22,21:13:27
Intersections, INTX, 1.34, 1.75, 1.34, 1.56, 0.21, 15.56, 126508, 3.68, 1.29, 0.0, 0.0, 0.0, -30.97, NASDAQ Global,2018-08-22,21:13:27
AgroFresh Solutions WT, AGFSW, 0.16, 0.2, 0.16, 0.18, 0.02, 15.5, 5179, 0.77, 0.05, 0.0, 0.0, 0.0, -54.93, NASDAQ Global,2018-08-22,21:13:27
Revolution Lighting Technologies, RVLT, 2.36, 2.81, 2.36, 2.74, 0.36, 15.13, 291498, 7.89, 2.18, 0.0, 0.0, 0.0, -16.72, NASDAQ Capital,2018-08-22,21:13:27
DarioHealth, DRIO, 0.89, 1.09, 0.89, 1.09, 0.14, 15.08, 78918, 3.64, 0.89, 0.0, 0.0, 0.0, -31.96, NASDAQ Capital,2018-08-22,21:13:27
Pioneer Energy Services, PES, 3.25, 3.65, 3.15, 3.6, 0.45, 14.29, 1606872, 6.35, 1.6, 0.0, 0.0, 0.0, 18.03, NYSE,2018-08-22,21:13:27
Pure Storage Cl A, PSTG, 25.39, 26.3, 24.6, 25.15, 3.14, 14.27, 16196784, 26.3, 12.47, 0.0, 0.0, 0.0, 58.58, NYSE,2018-08-22,21:13:27
Glatfelter, GLT, 16.8, 19.3, 16.8, 18.98, 2.32, 13.93, 958782, 23.85, 15.3, 0.52, 2.74, 0.0, -11.47, NYSE,2018-08-22,21:13:27
EP Energy Cl A, EPE, 1.62, 1.81, 1.62, 1.8, 0.22, 13.92, 2388279, 3.54, 1.26, 0.0, 0.0, 0.0, -23.73, NYSE,2018-08-22,21:13:27
Atlantic Acquisition WT, ATACR, 1.15, 1.29, 1.15, 1.25, 0.15, 13.64, 131215, 1.4, 0.33, 0.0, 0.0, 0.0, 108.33, NASDAQ Capital,2018-08-22,21:13:27
Celldex Therapeutics, CLDX, 0.44, 0.51, 0.43, 0.5, 0.06, 13.4, 4811989, 3.26, 0.4, 0.0, 0.0, 0.0, -82.45, NASDAQ Global,2018-08-22,21:13:27
Yuma Energy, YUMA, 0.26, 0.33, 0.26, 0.3, 0.04, 13.23, 182694, 1.83, 0.16, 0.0, 0.0, 0.0, -74.07, NYSE American,2018-08-22,21:13:27
MEI Pharma, MEIP, 3.82, 4.3, 3.82, 4.3, 0.5, 13.16, 650145, 5.14, 1.79, 0.0, 0.0, 0.0, 104.76, NASDAQ Capital,2018-08-22,21:13:27
La-Z-Boy, LZB, 38.75, 39.15, 35.6, 37.45, 4.35, 13.14, 3090627, 39.15, 23.15, 0.48, 1.28, 20.46, 20.03, NYSE,2018-08-22,21:13:27
Photronics, PLAB, 9.6, 10.15, 9.3, 10.1, 1.15, 12.85, 2355681, 10.6, 7.2, 0.0, 0.0, 26.58, 18.48, NASDAQ Global,2018-08-22,21:13:27
U.S. Energy, USEG, 1.02, 1.14, 0.91, 0.95, 0.11, 12.79, 3434817, 1.96, 0.7, 0.0, 0.0, 0.0, -36.69, NASDAQ Capital,2018-08-22,21:13:27
Seven Stars Cloud Group, SSC, 3.0, 3.44, 3.0, 3.41, 0.38, 12.54, 2436402, 7.0, 1.31, 0.0, 0.0, 0.0, -26.03, NASDAQ Capital,2018-08-22,21:13:27
Myriad Genetics, MYGN, 43.5, 48.87, 43.5, 48.2, 5.36, 12.51, 2956915, 48.87, 27.23, 0.0, 0.0, 24.85, 40.34, NASDAQ Global,2018-08-22,21:13:27
Intelligent Systems, INS, 12.92, 14.98, 12.92, 14.63, 1.63, 12.51, 57005, 14.98, 3.62, 0.0, 0.0, 47.18, 220.76, NYSE American,2018-08-22,21:13:27
Akers Biosciences, AKER, 0.23, 0.27, 0.23, 0.27, 0.03, 12.5, 2324976, 1.82, 0.12, 0.0, 0.0, 0.0, 101.49, NASDAQ Capital,2018-08-22,21:13:27
Strata Skin Sciences, SSKN, 2.33, 2.61, 2.33, 2.59, 0.27, 11.64, 672804, 2.81, 1.06, 0.0, 0.0, 0.0, 110.57, NASDAQ Capital,2018-08-22,21:13:27
AstroNova, ALOT, 19.5, 20.0, 19.15, 19.95, 2.05, 11.45, 61517, 20.0, 11.0, 0.28, 1.4, 37.64, 44.04, NASDAQ Global,2018-08-22,21:13:27
Achillion Pharmaceuticals, ACHN, 2.61, 2.94, 2.57, 2.93, 0.3, 11.41, 1558650, 5.19, 2.33, 0.0, 0.0, 0.0, 1.74, NASDAQ Global,2018-08-22,21:13:27
Takung Art, TKAT, 0.95, 1.0, 0.95, 1.0, 0.1, 11.2, 5093, 5.05, 0.86, 0.0, 0.0, 0.0, -60.24, NYSE American,2018-08-22,21:13:27
Check-Cap WT Series C, CHEKZ, 0.5, 0.5, 0.5, 0.5, 0.05, 11.09, 1000, 1.25, 0.36, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-22,21:13:27
Inseego, INSG, 2.61, 2.94, 2.57, 2.91, 0.29, 11.07, 923250, 2.94, 1.14, 0.0, 0.0, 0.0, 80.75, NASDAQ Global,2018-08-22,21:13:27
Trans World Entertainment, TWMC, 0.9, 1.03, 0.9, 1.0, 0.1, 11.04, 17026, 3.1, 0.8, 0.0, 0.0, 0.0, -45.24, NASDAQ Global,2018-08-22,21:13:27
Scholar Rock Holding, SRRK, 17.89, 19.97, 17.89, 19.85, 1.97, 11.02, 85432, 27.02, 13.09, 0.0, 0.0, 0.0, 0.0, NASDAQ Global,2018-08-22,21:13:27
Ultra Petroleum, UPL, 1.11, 1.23, 1.1, 1.22, 0.12, 10.91, 3471501, 10.18, 0.92, 0.0, 0.0, 0.0, -86.53, NASDAQ Global,2018-08-22,21:13:27
Merus, MRUS, 19.11, 22.06, 19.02, 21.4, 2.1, 10.88, 82854, 26.74, 13.36, 0.0, 0.0, 0.0, 10.31, NASDAQ Global,2018-08-22,21:13:27
TMSR Holding, TMSR, 3.7, 4.0, 3.7, 4.0, 0.39, 10.8, 1610, 10.32, 3.5, 0.0, 0.0, 114.29, -19.68, NASDAQ Capital,2018-08-22,21:13:27
Estre Ambiental WT, ESTRW, 0.43, 0.48, 0.43, 0.48, 0.05, 10.34, 300, 1.03, 0.33, 0.0, 0.0, 0.0, -36.0, NASDAQ Global,2018-08-22,21:13:27
Harte-Hanks, HHS, 6.9, 7.53, 6.9, 7.53, 0.7, 10.25, 74598, 12.16, 6.76, 0.0, 0.0, 0.0, -20.63, NYSE,2018-08-22,21:13:27
Kingstone, KINS, 17.0, 18.45, 17.0, 18.35, 1.65, 9.88, 48908, 21.7, 13.21, 0.4, 2.18, 32.77, -2.39, NASDAQ Capital,2018-08-22,21:13:27
YRC Worldwide, YRCW, 9.71, 10.23, 9.51, 10.08, 0.9, 9.8, 2070068, 17.61, 8.07, 0.0, 0.0, 0.0, -29.9, NASDAQ Global,2018-08-22,21:13:27
Naked Brand Group, NAKD, 3.8, 4.1, 3.8, 4.1, 0.36, 9.63, 118844, 11.36, 1.11, 0.0, 0.0, 0.0, 182.76, NASDAQ Capital,2018-08-22,21:13:27
Agenus, AGEN, 1.86, 2.18, 1.86, 2.06, 0.18, 9.57, 5599723, 6.19, 1.55, 0.0, 0.0, 0.0, -36.81, NASDAQ Capital,2018-08-22,21:13:27
Arsanis, ASNS, 1.75, 1.98, 1.75, 1.95, 0.17, 9.55, 130794, 28.69, 1.7, 0.0, 0.0, 0.0, -84.72, NASDAQ Global,2018-08-22,21:13:27
