Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
Check-Cap WT, CHEKW, 0.15, 0.15, 0.15, 0.15, 0.09, 168.1, 700, 1.23, 0.05, 0.0, 0.0, 0.0, -16.89, NASDAQ Capital,2018-08-24,22:07:59
RiceBran Technologies WT, RIBTW, 0.19, 0.2, 0.13, 0.16, 0.09, 129.23, 24400, 0.3, 0.02, 0.0, 0.0, 0.0, 60.0, NASDAQ Capital,2018-08-24,22:07:59
Alliance MMA, AMMA, 0.31, 0.62, 0.31, 0.42, 0.22, 115.22, 21425464, 3.07, 0.15, 0.0, 0.0, 0.0, -63.79, NASDAQ Capital,2018-08-24,22:07:59
Seven Stars Cloud Group, SSC, 4.2, 5.75, 4.16, 5.42, 1.52, 38.97, 15085873, 7.0, 1.31, 0.0, 0.0, 0.0, 17.57, NASDAQ Capital,2018-08-24,22:07:59
India Globalization Capital, IGC, 0.61, 0.77, 0.59, 0.71, 0.17, 31.49, 8402950, 1.63, 0.3, 0.0, 0.0, 0.0, -29.01, NYSE American,2018-08-24,22:07:59
Geron, GERN, 4.5, 5.81, 4.3, 5.19, 1.16, 28.78, 40380261, 6.68, 1.74, 0.0, 0.0, 0.0, 188.33, NASDAQ Global,2018-08-24,22:07:59
Greenland Acquisition Rt, GLACR, 0.45, 0.45, 0.45, 0.45, 0.1, 28.57, 2500, 0.45, 0.31, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-24,22:07:59
Jason Industries WT, JASNW, 0.01, 0.01, 0.01, 0.01, 0.0, 25.0, 20200, 0.06, 0.01, 0.0, 0.0, 0.0, -56.52, NASDAQ Capital,2018-08-24,22:07:59
voxeljet ADR, VJET, 3.45, 4.25, 3.45, 4.19, 0.73, 21.1, 337714, 6.37, 3.07, 0.0, 0.0, 0.0, -8.32, NYSE,2018-08-24,22:07:59
Draper Oakwood Technology Acquisition Rt, DOTAR, 0.6, 0.6, 0.6, 0.6, 0.1, 19.72, 200, 0.65, 0.3, 0.0, 0.0, 0.0, 19.72, NASDAQ Capital,2018-08-24,22:07:59
Kitov Pharma WT, KTOVW, 0.5, 0.5, 0.49, 0.5, 0.08, 19.05, 14207, 1.1, 0.4, 0.0, 0.0, 0.0, -16.67, NASDAQ Capital,2018-08-24,22:07:59
China Commercial Credit, GLG, 0.7, 0.97, 0.65, 0.79, 0.12, 18.49, 275684, 4.0, 0.46, 0.0, 0.0, 0.0, -42.75, NASDAQ Capital,2018-08-24,22:07:59
