Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
Cytori Therapeutics WT, CYTXZ, 0.01, 0.01, 0.01, 0.01, 0.01, 475.0, 12100, 0.18, 0.0, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-16,20:51:14
Yuma Energy, YUMA, 0.21, 0.45, 0.2, 0.3, 0.1, 49.82, 2007500, 1.83, 0.16, 0.0, 0.0, 0.0, -74.35, NYSE American,2018-08-16,20:51:14
JMU ADR, JMU, 1.22, 2.73, 1.22, 1.83, 0.57, 45.24, 9399448, 21.4, 1.1, 0.0, 0.0, 0.0, -82.06, NASDAQ Global,2018-08-16,20:51:14
Citius Pharmaceuticals WT, CTXRW, 0.35, 0.5, 0.35, 0.5, 0.15, 42.86, 2801, 1.38, 0.11, 0.0, 0.0, 0.0, -16.67, NASDAQ Capital,2018-08-16,20:51:14
CryoPort WT, CYRXW, 9.5, 12.49, 9.5, 12.49, 3.18, 34.17, 600, 16.31, 2.82, 0.0, 0.0, 0.0, 128.96, NASDAQ Capital,2018-08-16,20:51:14
Sphere 3D, ANY, 0.25, 0.41, 0.22, 0.31, 0.08, 33.52, 3306648, 4.8, 0.13, 0.0, 0.0, 0.0, -87.35, NASDAQ Capital,2018-08-16,20:51:14
China Rapid Finance ADR, XRF, 2.3, 2.95, 2.3, 2.81, 0.65, 30.09, 999597, 12.86, 1.6, 0.0, 0.0, 0.0, -50.87, NYSE,2018-08-16,20:51:14
Onconova Therapeutics WT, ONTXW, 0.34, 0.34, 0.34, 0.34, 0.08, 30.0, 200, 0.8, 0.01, 0.0, 0.0, 0.0, -38.55, NASDAQ Capital,2018-08-16,20:51:14
Applied DNA Sciences WT, APDNW, 0.22, 0.22, 0.21, 0.22, 0.05, 29.27, 19802, 1.04, 0.12, 0.0, 0.0, 0.0, -38.96, NASDAQ Capital,2018-08-16,20:51:14
SAExploration Holdings, SAEX, 0.46, 0.77, 0.45, 0.58, 0.13, 28.89, 1132418, 3.69, 0.45, 0.0, 0.0, 0.0, -73.64, NASDAQ Capital,2018-08-16,20:51:14
Entera Bio WT, ENTXW, 0.63, 1.0, 0.63, 1.0, 0.2, 25.0, 224, 1.47, 0.5, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-16,20:51:14
DFB Healthcare Acquisitions WT, DFBHW, 1.8, 1.8, 1.8, 1.8, 0.35, 24.14, 100, 1.95, 1.1, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-16,20:51:14
CBAK Energy Technology, CBAK, 0.65, 0.74, 0.59, 0.7, 0.14, 23.91, 63808, 2.35, 0.49, 0.0, 0.0, 0.0, -52.54, NASDAQ Global,2018-08-16,20:51:14
Aegean Marine Petroleum Network, ANW, 2.48, 2.48, 1.9, 2.09, 0.4, 23.67, 8633682, 5.25, 0.6, 0.04, 1.91, 0.0, -51.4, NYSE,2018-08-16,20:51:14
Easterly Acquisition WT, EACQW, 0.9, 1.07, 0.9, 1.07, 0.19, 21.59, 185568, 1.4, 0.02, 0.0, 0.0, 0.0, 79.8, NASDAQ Capital,2018-08-16,20:51:14
I-AM Capital Acquisition WT, IAMXW, 0.48, 0.48, 0.48, 0.48, 0.08, 21.07, 100, 0.7, 0.2, 0.0, 0.0, 0.0, 46.76, NASDAQ Capital,2018-08-16,20:51:14
ImmunoCellular Therapeutics WT, IMUC%, 0.01, 0.01, 0.01, 0.01, 0.0, 20.0, 39344, 0.29, 0.01, 0.0, 0.0, 0.0, -76.0, NYSE American,2018-08-16,20:51:14
Revolution Lighting Technologies, RVLT, 2.24, 2.63, 2.24, 2.63, 0.43, 19.55, 1098086, 7.89, 2.18, 0.0, 0.0, 0.0, -20.06, NASDAQ Capital,2018-08-16,20:51:14
Alliance MMA, AMMA, 0.17, 0.23, 0.16, 0.19, 0.03, 19.49, 677081, 3.07, 0.15, 0.0, 0.0, 0.0, -83.28, NASDAQ Capital,2018-08-16,20:51:14
Liquid Media Group, YVR, 0.95, 1.2, 0.95, 1.1, 0.18, 19.31, 159997, 3.75, 0.74, 0.0, 0.0, 0.0, -32.52, NASDAQ Capital,2018-08-16,20:51:14
Barington/Hilco Acquisition WT, BHACW, 0.13, 0.13, 0.13, 0.13, 0.02, 19.27, 100, 0.28, 0.03, 0.0, 0.0, 0.0, 87.43, NASDAQ Capital,2018-08-16,20:51:14
Lifevantage, LFVN, 10.0, 11.25, 9.75, 11.2, 1.77, 18.77, 704225, 12.19, 2.86, 0.0, 0.0, 53.33, 135.29, NASDAQ Capital,2018-08-16,20:51:14
Legacy Reserves, LGCY, 4.14, 4.88, 4.12, 4.88, 0.77, 18.73, 438066, 10.54, 1.07, 0.6, 12.3, 0.0, 203.11, NASDAQ Global,2018-08-16,20:51:14
SSLJ.com Cl A, SSLJ, 0.92, 1.24, 0.9, 1.09, 0.17, 18.47, 391739, 5.75, 0.56, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-16,20:51:14
