Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
Citius Pharmaceuticals WT, CTXRW, 0.53, 0.53, 0.53, 0.53, 0.33, 166.4, 100, 1.38, 0.11, 0.0, 0.0, 0.0, -11.2, NASDAQ Capital,2018-08-14,21:12:47
Wins Finance Holdings, WINS, 69.1, 92.0, 69.1, 92.0, 31.0, 50.82, 2664, 390.88, 33.38, 0.0, 0.0, 122.67, -48.89, NASDAQ Capital,2018-08-14,21:12:47
Far Point Acquisition WT, FPAC%, 2.19, 2.21, 2.19, 2.21, 0.71, 47.33, 300, 2.21, 1.25, 0.0, 0.0, 0.0, 0.0, NYSE,2018-08-14,21:12:47
Atlantic Acquisition WT, ATACR, 1.1, 1.36, 1.1, 1.36, 0.36, 36.0, 138610, 1.36, 0.33, 0.0, 0.0, 0.0, 126.67, NASDAQ Capital,2018-08-14,21:12:47
Regulus Therapeutics, RGLS, 0.2, 0.29, 0.17, 0.26, 0.06, 32.56, 6667833, 1.52, 0.17, 0.0, 0.0, 0.0, -74.71, NASDAQ Global,2018-08-14,21:12:47
Truett-Hurst Cl A, THST, 2.91, 3.19, 1.91, 1.96, 0.48, 32.16, 11502935, 3.19, 1.26, 0.0, 0.0, 0.0, -5.31, NASDAQ Capital,2018-08-14,21:12:47
Eastman Kodak Co. WT 125%, KODK%, 0.01, 0.01, 0.01, 0.01, 0.0, 30.0, 17702, 2.95, 0.01, 0.0, 0.0, 0.0, 145.28, NYSE,2018-08-14,21:12:47
Level Brands, LEVB, 2.88, 3.75, 2.87, 3.75, 0.83, 28.42, 208958, 5.88, 2.74, 0.0, 0.0, 0.0, -13.79, NYSE American,2018-08-14,21:12:47
AgroFresh Solutions WT, AGFSW, 0.16, 0.16, 0.13, 0.16, 0.03, 27.05, 48722, 0.77, 0.05, 0.0, 0.0, 0.0, -62.2, NASDAQ Global,2018-08-14,21:12:47
BioTime WT, BTX%, 0.02, 0.02, 0.02, 0.02, 0.0, 23.27, 3489, 0.28, 0.02, 0.0, 0.0, 0.0, -79.69, NYSE American,2018-08-14,21:12:47
Electrameccanica Vehicles, SOLO, 3.3, 4.15, 3.2, 3.92, 0.67, 20.62, 763940, 16.0, 2.27, 0.0, 0.0, 0.0, -62.67, NASDAQ Capital,2018-08-14,21:12:47
Hugoton Royalty Trust Un, HGT, 0.4, 0.52, 0.4, 0.48, 0.08, 20.18, 680344, 1.9, 0.33, 0.0, 0.0, 10.38, -65.66, NYSE,2018-08-14,21:12:47
Xeris Pharmaceuticals, XERS, 21.31, 26.45, 21.31, 25.02, 3.86, 18.24, 56256, 26.45, 15.75, 0.0, 0.0, 0.0, 0.0, NASDAQ Global,2018-08-14,21:12:47
Inpixon, INPX, 0.12, 0.15, 0.11, 0.14, 0.02, 18.19, 3394052, 18.3, 0.1, 0.0, 0.0, 0.0, -97.82, NASDAQ Capital,2018-08-14,21:12:47
VectoIQ Acquisition WT, VTIQW, 0.65, 0.66, 0.64, 0.65, 0.1, 18.18, 20885, 0.66, 0.45, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-14,21:12:47
Lithium Americas, LAC, 3.69, 4.29, 3.63, 4.2, 0.64, 17.98, 748135, 10.95, 0.81, 0.0, 0.0, 0.0, -52.75, NYSE,2018-08-14,21:12:47
Dragon Victory International, LYL, 2.24, 2.57, 2.19, 2.5, 0.38, 17.92, 19809, 14.99, 2.03, 0.0, 0.0, 154.32, -42.66, NASDAQ Capital,2018-08-14,21:12:47
Maxwell Technologies, MXWL, 3.49, 4.15, 3.47, 3.99, 0.59, 17.35, 1545001, 6.61, 3.24, 0.0, 0.0, 0.0, -30.73, NASDAQ Global,2018-08-14,21:12:47
Farmmi, FAMI, 3.08, 3.66, 3.08, 3.54, 0.52, 17.22, 945159, 10.32, 2.68, 0.0, 0.0, 12.64, 0.0, NASDAQ Capital,2018-08-14,21:12:47
Regalwood Global Energy WT, RWGE%, 1.42, 1.6, 1.42, 1.6, 0.23, 16.79, 2600, 1.6, 0.98, 0.0, 0.0, 0.0, 0.0, NYSE,2018-08-14,21:12:47
Vince Holding, VNCE, 20.29, 23.5, 20.06, 23.45, 3.11, 15.29, 160770, 23.5, 3.2, 0.0, 0.0, 5.42, 278.84, NYSE,2018-08-14,21:12:47
Idera Pharmaceuticals, IDRA, 7.45, 8.59, 7.15, 8.51, 1.12, 15.16, 2723292, 22.96, 5.2, 0.0, 0.0, 0.0, -49.59, NASDAQ Capital,2018-08-14,21:12:47
Avalon Holdings, AWX, 3.57, 4.45, 3.57, 4.33, 0.57, 15.16, 1441446, 20.2, 1.83, 0.0, 0.0, 54.13, 116.5, NYSE American,2018-08-14,21:12:47
Sphere 3D, ANY, 0.24, 0.28, 0.21, 0.24, 0.03, 14.68, 665900, 4.8, 0.13, 0.0, 0.0, 0.0, -90.44, NASDAQ Capital,2018-08-14,21:12:47
XOMA, XOMA, 16.26, 19.15, 16.25, 18.55, 2.36, 14.58, 136594, 37.25, 7.22, 0.0, 0.0, 16.42, -47.89, NASDAQ Global,2018-08-14,21:12:47
Integrated Media Technology, IMTE, 13.83, 13.83, 11.23, 12.77, 1.57, 13.96, 1565, 44.0, 1.85, 0.0, 0.0, 26.26, 126.89, NASDAQ Capital,2018-08-14,21:12:47
Servotronics, SVT, 10.4, 11.35, 10.35, 10.9, 1.3, 13.54, 54169, 12.8, 8.49, 0.16, 1.47, 11.47, -2.09, NYSE American,2018-08-14,21:12:47
Atlantic Acquisition Un, ATACU, 13.13, 14.6, 12.87, 14.5, 1.72, 13.46, 11425, 14.6, 9.56, 0.0, 0.0, 0.0, 42.16, NASDAQ Capital,2018-08-14,21:12:47
ENDRA Life Sciences, NDRA, 2.16, 2.58, 2.01, 2.57, 0.3, 13.27, 125080, 5.88, 1.55, 0.0, 0.0, 0.0, -47.12, NASDAQ Capital,2018-08-14,21:12:47
Bank of America Cl B WT, BAC%B, 1.02, 1.12, 0.95, 1.12, 0.13, 13.13, 366886, 3.89, 0.48, 0.0, 0.0, 0.0, -47.66, NYSE,2018-08-14,21:12:47
Atlantic Acquisition, ATAC, 12.14, 14.24, 12.01, 13.5, 1.54, 12.88, 168035, 15.0, 9.75, 0.0, 0.0, 0.0, 36.92, NASDAQ Capital,2018-08-14,21:12:47
ADial Pharmaceuticals, ADIL, 3.27, 3.85, 3.0, 3.85, 0.43, 12.57, 36990, 4.4, 3.0, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-14,21:12:47
PHI, PHII, 7.75, 8.3, 7.75, 8.3, 0.9, 12.2, 2174, 13.95, 7.11, 0.0, 0.0, 63.85, -29.03, NASDAQ Global,2018-08-14,21:12:47
NTN Buzztime, NTN, 5.0, 5.84, 5.0, 5.59, 0.6, 12.02, 10697, 8.4, 3.01, 0.0, 0.0, 0.0, 32.78, NYSE American,2018-08-14,21:12:47
Tapestry, TPR, 50.85, 54.35, 50.6, 53.16, 5.7, 12.01, 13545166, 55.5, 38.7, 1.35, 2.54, 45.44, 20.19, NYSE,2018-08-14,21:12:47
Akers Biosciences, AKER, 0.28, 0.31, 0.27, 0.3, 0.03, 11.99, 4526740, 1.82, 0.12, 0.0, 0.0, 0.0, 125.65, NASDAQ Capital,2018-08-14,21:12:47
Pacific Ethanol, PEIX, 2.15, 2.4, 2.1, 2.35, 0.25, 11.9, 796792, 6.05, 2.0, 0.0, 0.0, 0.0, -48.35, NASDAQ Capital,2018-08-14,21:12:47
ENGlobal, ENG, 1.03, 1.12, 1.03, 1.12, 0.12, 11.89, 48290, 1.47, 0.73, 0.0, 0.0, 0.0, 28.74, NASDAQ Capital,2018-08-14,21:12:47
