Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
ImmunoCellular Therapeutics WT, IMUC%, 0.02, 0.04, 0.02, 0.03, 0.02, 137.93, 32100, 0.29, 0.01, 0.0, 0.0, 0.0, -13.75, NYSE American,2018-08-21,06:47:01
Oncobiologics WT Series A, ONSIW, 0.04, 0.04, 0.02, 0.04, 0.02, 99.0, 14258, 0.25, 0.01, 0.0, 0.0, 0.0, 26.75, NASDAQ Capital,2018-08-21,06:47:01
Soleno Therapeutics WT, SLNOW, 0.21, 0.21, 0.21, 0.21, 0.1, 90.91, 2400, 1.8, 0.05, 0.0, 0.0, 0.0, 44.83, NASDAQ Capital,2018-08-21,06:47:01
Check-Cap WT, CHEKW, 0.09, 0.14, 0.07, 0.14, 0.06, 74.41, 6225, 1.23, 0.05, 0.0, 0.0, 0.0, -22.39, NASDAQ Capital,2018-08-21,06:47:01
Southcross Energy Partners, SXE, 0.47, 0.82, 0.46, 0.77, 0.3, 64.87, 5028547, 2.74, 0.43, 1.6, 209.15, 0.0, -54.73, NYSE,2018-08-21,06:47:01
Seven Stars Cloud Group, SSC, 4.05, 4.18, 2.82, 3.02, 1.05, 53.3, 21084902, 7.0, 1.31, 0.0, 0.0, 0.0, -34.49, NASDAQ Capital,2018-08-21,06:47:01
China Commercial Credit, GLG, 0.87, 0.98, 0.75, 0.77, 0.18, 30.51, 966944, 4.0, 0.46, 0.0, 0.0, 0.0, -44.2, NASDAQ Capital,2018-08-21,06:47:01
Grindrod Shipping Holdings, GRIN, 9.35, 16.0, 9.35, 11.6, 2.7, 30.34, 144029, 20.5, 8.53, 0.0, 0.0, 0.0, 0.0, NASDAQ Global,2018-08-21,06:47:01
Aileron Therapeutics, ALRN, 2.02, 2.69, 2.02, 2.6, 0.6, 30.0, 385911, 15.48, 1.98, 0.0, 0.0, 0.0, -75.33, NASDAQ Global,2018-08-21,06:47:01
Cheetah Mobile ADR, CMCM, 9.9, 11.33, 9.72, 11.21, 2.11, 23.19, 7421645, 18.18, 7.38, 0.0, 0.0, 8.01, -7.2, NYSE,2018-08-21,06:47:01
